date,stock_id,name,market,observed_days,close,avg_price,volume_lot,foreign_net_lot,trust_net_lot,dealer_net_lot
2026-09-18,2324,仁寶,TWSE,,37.7,37.7521,52193.79,-5201.38,767.24,937.61
2026-09-21,2324,仁寶,TWSE,,37.6,37.954,27563.78,-9828.29,-38.57,-217.41
2026-09-22,2324,仁寶,TWSE,,37.05,37.292,38170.83,-19467.75,-73.86,11.35
2026-09-23,2324,仁寶,TWSE,,36.8,36.9113,23534.9,-9770.37,3.0,183.36
2026-09-24,2324,仁寶,TWSE,,36.5,36.533,18026.29,-6316.13,108.0,153.95
2026-09-18,2376,技嘉,TWSE,,356.0,360.1795,6645.77,346.77,232.24,165.33
2026-09-21,2376,技嘉,TWSE,,368.0,369.515,11634.82,570.48,37.44,-112.63
2026-09-22,2376,技嘉,TWSE,,366.5,367.255,6797.1,657.46,-6.45,-198.79
2026-09-23,2376,技嘉,TWSE,,365.0,366.5039,3929.45,441.51,-13.0,-86.74
2026-09-24,2376,技嘉,TWSE,,361.5,362.1392,3778.91,238.54,-210.0,-57.62
2026-09-18,2382,廣達,TWSE,,343.0,343.1286,21601.44,-6125.36,5115.73,350.16
2026-09-21,2382,廣達,TWSE,,344.5,342.1129,8285.05,-1255.12,1675.3,95.37
2026-09-22,2382,廣達,TWSE,,342.0,342.8475,11292.71,-2045.01,1593.25,140.73
2026-09-23,2382,廣達,TWSE,,341.5,341.3733,9982.47,-2763.74,673.0,97.65
2026-09-24,2382,廣達,TWSE,,338.5,337.4057,10593.25,-3653.59,762.0,148.97
2026-09-18,6196,帆宣,TWSE,,540.0,533.6823,2100.12,172.72,-1.0,106.42
2026-09-21,6196,帆宣,TWSE,,535.0,537.4311,1270.48,-139.29,0.0,-81.87
2026-09-22,6196,帆宣,TWSE,,535.0,541.111,1220.76,306.7,-61.0,13.51
2026-09-23,6196,帆宣,TWSE,,549.0,546.7709,1773.92,281.63,0.0,72.18
2026-09-24,6196,帆宣,TWSE,,565.0,555.6075,1521.34,188.54,0.0,-32.33
