latest_date,stock_id,name,market,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,valuation_score,multifactor_score,20d_avg_price,close_vs_avg_pct,20d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,20d_foreign_net_lot,20d_trust_net_lot,20d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-06-10,7818,溢泰實業,TWSE,18,63.0,11.15,3.56,1.16,-1.25,28.57,27.06,-8.96,3.96,0.473,0.75,6.5,1.25,65.8497,-4.33,12916.4,270.51,717.58,286.32,0.38,0.4,-12.0,量縮,302.96,0.0,302.96,2.35,0.0,0,1,0,0,-19.0,0.0,,,,,,,0.0,0.0,,,0.0,0.0,未取得,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,外資買超,0.0
2026-06-10,6015,宏遠證,TPEX,20,18.0,9.47,3.05,1.24,20.0,60.32,82.83,-25.0,25.0,1.581,7.0,6.5,31.16,19.3246,-6.85,163578.0,9012.0,8178.9,13105.2,1.1,1.6,10.86,放量,4924.5,0.0,4924.5,3.01,0.0,1,0,0,0,1935.99,0.0,,,,,,,0.0,13.43,2240,-594,-1.2,12.23,未取得,0.0,12.23,0.0,0.0,0.0,0.0,0.0,0.0,12.23,,,,,,,,資料不足或法人與分點未同向,外資買超；融資增加；放量；波動偏高,12.23
2026-06-10,5515,建國,TWSE,20,43.0,7.2,7.67,1.52,5.01,75.89,20.68,-0.92,10.82,0.336,4.01,6.0,18.22,40.9241,5.07,16438.22,1439.99,821.91,673.82,1.75,0.82,9.14,放量,235.63,-58.0,177.63,1.43,-0.35,3,0,0,1,134.0,-3.0,,,,,,,0.0,6.35,558,1,-2.71,3.64,未取得,0.0,3.64,0.0,0.0,0.0,0.0,0.0,0.0,3.64,,,,,,,,資料不足或法人與分點未同向,外資買超；融資增加；放量；接近區間高點；RSI過熱,3.64
2026-06-10,4763,材料*-KY,TWSE,20,44.25,8.56,6.89,2.03,4.73,56.19,44.33,-4.01,10.07,3.339,6.84,6.0,38.53,42.9599,3.0,155454.38,10083.85,7772.72,10054.55,1.3,1.29,11.27,正常,12102.16,-43.16,12059.0,7.79,-0.03,0,1,0,0,-108.85,0.0,,,,,,,0.0,19.71,-555,-14,0.35,20.06,未取得,0.0,20.06,0.0,0.0,0.0,0.0,0.0,0.0,20.06,,,,,,,,資料不足或法人與分點未同向,外資買超；融資下降,20.06
2026-06-10,4105,東洋,TPEX,20,74.7,11.53,6.02,2.83,-1.71,53.85,11.89,-2.23,2.61,0.686,-1.03,6.0,39.08,74.2846,0.56,18457.0,1189.0,922.85,1261.0,1.29,1.37,12.32,放量,3623.24,-500.0,3123.24,19.63,-2.71,1,0,0,2,719.6,-215.0,,,,,,,0.0,28.23,65,0,-0.28,27.95,未取得,0.0,27.95,0.0,0.0,0.0,0.0,0.0,0.0,27.95,,,,,,,,資料不足或法人與分點未同向,外資買超；融資增加；放量,27.95
2026-06-10,3218,大學光,TPEX,20,132.5,11.68,5.85,3.07,2.71,54.39,29.64,-6.36,5.58,0.415,1.63,6.0,32.26,133.0099,-0.38,6233.0,222.0,311.65,218.8,0.71,0.7,-8.22,正常,713.12,-76.4,636.72,11.44,-1.23,6,0,0,18,61.26,-2.41,,,,,,,0.0,28.61,-8,0,0.13,28.74,未取得,0.0,28.74,0.0,0.0,0.0,0.0,0.0,0.0,28.74,,,,,,,,資料不足或法人與分點未同向,外資買超；融資下降,28.74
2026-06-10,2535,達欣工,TWSE,20,89.7,10.76,5.13,2.36,19.44,79.49,34.6,-1.32,24.41,0.577,10.0,6.0,19.44,80.0438,12.06,14406.89,905.88,720.34,935.22,1.26,1.3,10.86,正常,211.31,0.0,211.31,1.47,0.0,0,1,0,0,-17.2,0.0,,,,,,,0.0,-1.89,26,10,-0.1,-1.99,未取得,0.0,-1.99,0.0,0.0,0.0,0.0,0.0,0.0,-1.99,,,,,,,,資料不足或法人與分點未同向,外資買超；融資增加；接近區間高點；RSI過熱,-1.99
2026-06-10,2845,遠東銀,TWSE,20,12.8,14.55,4.92,0.87,6.22,71.05,22.61,-0.39,8.02,1.777,12.73,5.0,55.64,12.2243,4.71,290808.06,15726.07,14540.4,20442.28,1.08,1.41,7.47,放量,34345.13,-1277.0,33068.13,11.81,-0.44,3,0,0,0,9106.7,0.0,,,,,,,0.0,34.0,-524,-3,0.18,34.18,未取得,0.0,34.18,0.0,0.0,0.0,0.0,0.0,0.0,34.18,,,,,,,,資料不足或法人與分點未同向,外資買超；融資下降；放量；接近區間高點,34.18
2026-06-10,6592,和潤企業,TWSE,20,67.1,13.64,4.92,1.3,12.21,77.88,22.82,-0.45,12.96,0.518,8.33,5.0,63.07,62.4162,7.5,16605.4,1539.46,830.27,993.0,1.85,1.2,16.39,放量,3363.79,318.0,3681.79,20.26,1.92,2,0,0,0,361.23,0.0,,,,,,,0.0,40.79,-124,4,0.76,41.55,未取得,0.0,41.55,0.0,0.0,0.0,0.0,0.0,0.0,41.55,,,,,,,,資料不足或法人與分點未同向,外資買超；投信買超；融資下降；放量；接近區間高點；RSI過熱,41.55
2026-06-10,2838,聯邦銀,TWSE,20,21.65,15.35,4.9,1.17,7.44,68.67,27.86,-1.14,8.25,0.411,13.46,5.0,37.73,20.6931,4.62,39727.21,1801.67,1986.36,2622.3,0.91,1.32,4.01,放量,2955.05,-68.0,2887.05,7.44,-0.17,0,1,0,0,-107.24,0.0,,,,,,,0.0,18.26,495,0,-1.0,17.26,未取得,0.0,17.26,0.0,0.0,0.0,0.0,0.0,0.0,17.26,,,,,,,,資料不足或法人與分點未同向,外資買超；融資增加；放量；接近區間高點,17.26
