as_of_date,from_date,to_date,window_days,stock_id,name,rank_side,rank_no,broker_name,broker_id,buy_lot,sell_lot,net_lot,avg_price,source,source_url
2026-05-18,2026-04-20,2026-05-18,20,1795,美時,buy,4,華南永昌,9300,352.0,121.0,231.0,215.01,histock,https://histock.tw/stock/branch.aspx?no=1795&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1795,美時,sell,5,凱基-台北,9268,4275.0,5352.0,-1076.0,220.73,histock,https://histock.tw/stock/branch.aspx?no=1795&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1795,美時,buy,5,新光,8560,813.0,584.0,228.0,219.17,histock,https://histock.tw/stock/branch.aspx?no=1795&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1795,美時,sell,6,台灣摩根士丹利,1470,2741.0,3692.0,-950.0,215.46,histock,https://histock.tw/stock/branch.aspx?no=1795&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1795,美時,buy,6,台新-城東,9B2r,444.0,245.0,199.0,219.26,histock,https://histock.tw/stock/branch.aspx?no=1795&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1795,美時,sell,7,花旗環球,1590,146.0,936.0,-790.0,221.3,histock,https://histock.tw/stock/branch.aspx?no=1795&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1795,美時,buy,7,元大-左營,989D,217.0,27.0,190.0,209.45,histock,https://histock.tw/stock/branch.aspx?no=1795&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1795,美時,sell,8,摩根大通,8440,1019.0,1753.0,-734.0,217.93,histock,https://histock.tw/stock/branch.aspx?no=1795&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1795,美時,buy,8,元大-四維,9831,204.0,43.0,160.0,216.94,histock,https://histock.tw/stock/branch.aspx?no=1795&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1795,美時,sell,9,元大-西螺,981i,97.0,604.0,-507.0,210.66,histock,https://histock.tw/stock/branch.aspx?no=1795&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1795,美時,buy,9,玉山,8840,290.0,132.0,158.0,217.32,histock,https://histock.tw/stock/branch.aspx?no=1795&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1795,美時,sell,10,國票-長城,779u,45.0,422.0,-376.0,215.36,histock,https://histock.tw/stock/branch.aspx?no=1795&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1795,美時,buy,10,統一-士林,585M,181.0,52.0,129.0,219.21,histock,https://histock.tw/stock/branch.aspx?no=1795&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1802,台玻,sell,1,台灣摩根士丹利,1470,54763.0,90148.0,-35385.0,69.86,histock,https://histock.tw/stock/branch.aspx?no=1802&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1802,台玻,buy,1,國泰-敦南,8888,96204.0,87046.0,9157.0,70.06,histock,https://histock.tw/stock/branch.aspx?no=1802&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1802,台玻,sell,2,美林,1440,36830.0,63423.0,-26593.0,69.53,histock,https://histock.tw/stock/branch.aspx?no=1802&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1802,台玻,buy,2,台新,9B00,20581.0,18161.0,2419.0,70.06,histock,https://histock.tw/stock/branch.aspx?no=1802&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1802,台玻,sell,3,摩根大通,8440,26912.0,49179.0,-22266.0,70.25,histock,https://histock.tw/stock/branch.aspx?no=1802&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1802,台玻,buy,3,國泰-板橋,888K,14771.0,12464.0,2307.0,69.73,histock,https://histock.tw/stock/branch.aspx?no=1802&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1802,台玻,sell,4,美商高盛,1480,70783.0,91093.0,-20310.0,69.78,histock,https://histock.tw/stock/branch.aspx?no=1802&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1802,台玻,buy,4,華南永昌-豐原,9366,2717.0,1090.0,1626.0,70.33,histock,https://histock.tw/stock/branch.aspx?no=1802&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1802,台玻,sell,5,新加坡商瑞銀,1650,50532.0,69917.0,-19384.0,70.14,histock,https://histock.tw/stock/branch.aspx?no=1802&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1802,台玻,buy,5,玉山,8840,6760.0,5144.0,1616.0,69.87,histock,https://histock.tw/stock/branch.aspx?no=1802&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1802,台玻,sell,6,元大,9800,262746.0,279085.0,-16338.0,69.73,histock,https://histock.tw/stock/branch.aspx?no=1802&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1802,台玻,buy,6,新光-台中,8561,10770.0,9347.0,1422.0,70.01,histock,https://histock.tw/stock/branch.aspx?no=1802&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1802,台玻,sell,7,凱基-台北,9268,212485.0,224888.0,-12402.0,69.77,histock,https://histock.tw/stock/branch.aspx?no=1802&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1802,台玻,buy,7,國泰-台中,8882,19475.0,18106.0,1368.0,70.14,histock,https://histock.tw/stock/branch.aspx?no=1802&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1802,台玻,sell,8,華南永昌-忠孝,9325,783.0,6485.0,-5702.0,69.89,histock,https://histock.tw/stock/branch.aspx?no=1802&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1802,台玻,buy,8,新光-新竹,8563,7007.0,5687.0,1320.0,69.69,histock,https://histock.tw/stock/branch.aspx?no=1802&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1802,台玻,sell,9,國票-安和,779Z,6012.0,10688.0,-4675.0,72.36,histock,https://histock.tw/stock/branch.aspx?no=1802&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1802,台玻,buy,9,新光,8560,22642.0,21335.0,1306.0,69.47,histock,https://histock.tw/stock/branch.aspx?no=1802&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1802,台玻,sell,10,華南永昌,9300,5967.0,8932.0,-2965.0,69.62,histock,https://histock.tw/stock/branch.aspx?no=1802&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1802,台玻,buy,10,台新-台中,9B1h,7725.0,6519.0,1205.0,69.86,histock,https://histock.tw/stock/branch.aspx?no=1802&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1805,寶徠,sell,1,台灣摩根士丹利,1470,19.0,179.0,-160.0,10.48,histock,https://histock.tw/stock/branch.aspx?no=1805&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1805,寶徠,buy,1,合庫,1020,863.0,46.0,816.0,10.52,histock,https://histock.tw/stock/branch.aspx?no=1805&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1805,寶徠,sell,2,臺銀證券,1040,,141.0,-141.0,10.7,histock,https://histock.tw/stock/branch.aspx?no=1805&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1805,寶徠,buy,2,新光,8560,212.0,58.0,153.0,10.65,histock,https://histock.tw/stock/branch.aspx?no=1805&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1805,寶徠,sell,3,永豐金,9A00,50.0,161.0,-111.0,10.61,histock,https://histock.tw/stock/branch.aspx?no=1805&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1805,寶徠,buy,3,台新,9B00,177.0,91.0,85.0,10.61,histock,https://histock.tw/stock/branch.aspx?no=1805&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1805,寶徠,sell,4,華南永昌-林口,9317,,105.0,-105.0,10.36,histock,https://histock.tw/stock/branch.aspx?no=1805&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1805,寶徠,buy,4,凱基-台北,9268,175.0,95.0,80.0,10.55,histock,https://histock.tw/stock/branch.aspx?no=1805&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1805,寶徠,sell,5,台新-高雄,9B1g,,85.0,-85.0,10.18,histock,https://histock.tw/stock/branch.aspx?no=1805&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1805,寶徠,buy,5,國票-安和,779Z,99.0,32.0,67.0,10.61,histock,https://histock.tw/stock/branch.aspx?no=1805&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1805,寶徠,sell,6,大昌-桃園,6465,,69.0,-69.0,10.28,histock,https://histock.tw/stock/branch.aspx?no=1805&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1805,寶徠,buy,6,康和,8450,51.0,,51.0,10.57,histock,https://histock.tw/stock/branch.aspx?no=1805&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1805,寶徠,sell,7,元大-西螺,981i,1.0,67.0,-66.0,10.63,histock,https://histock.tw/stock/branch.aspx?no=1805&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1805,寶徠,buy,7,華南永昌,9300,106.0,59.0,47.0,10.65,histock,https://histock.tw/stock/branch.aspx?no=1805&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1805,寶徠,sell,8,台中銀-豐原,611A,,65.0,-65.0,10.75,histock,https://histock.tw/stock/branch.aspx?no=1805&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1805,寶徠,buy,8,元大-萬華,981q,43.0,,43.0,10.12,histock,https://histock.tw/stock/branch.aspx?no=1805&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1805,寶徠,sell,9,富邦-南港,962A,,64.0,-64.0,10.64,histock,https://histock.tw/stock/branch.aspx?no=1805&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1805,寶徠,buy,9,國泰-桃園,8885,71.0,31.0,39.0,10.42,histock,https://histock.tw/stock/branch.aspx?no=1805&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1805,寶徠,sell,10,兆豐-松德,700i,,50.0,-50.0,10.35,histock,https://histock.tw/stock/branch.aspx?no=1805&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,1805,寶徠,buy,10,福勝,6950,33.0,,33.0,10.81,histock,https://histock.tw/stock/branch.aspx?no=1805&from=20260420&to=20260518
