stock_id,name,latest_date,close,5d_avg_price,5d_foreign_net_lot,5d_trust_net_lot,latest_foreign_net_lot,latest_trust_net_lot
2376,技嘉,2026-04-16,281.0,271.0967,"15,540","1,529","2,027",249
2382,廣達,2026-04-16,318.5,314.0414,"16,192","-2,140","7,637",-748
2324,仁寶,2026-04-16,29.4,29.1719,"2,110","-25,129","-6,926","-11,475"
6196,帆宣,2026-04-16,340.0,329.8816,"2,151",-33,-623,-5
