latest_date,stock_id,name,market,observed_days,close,pe_ratio,dividend_yield,pb_ratio,1d_avg_price,close_vs_avg_pct,1d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,1d_foreign_net_lot,1d_trust_net_lot,1d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-05-18,2542,興富發,TWSE,1,44.6,13.72,8.97,1.71,44.3601,0.54,19426.03,19426.03,19426.03,19426.03,1.0,1.0,0.0,正常,5337.35,29.5,5366.85,27.48,0.15,1,0,1,0,5337.35,29.5,,,,,,,0.0,42.88,-40,-1,0.2,63.44,未取得,0.0,63.44,0.0,0.0,0.0,0.0,0.0,20.36,63.44,2026-04,-0.36,4077.66,1725.22,,,,營收 2026-04，月增 -0.36%，年增 4077.66%，累計年增 1725.22%,外資買超；投信買超；融資下降；營收 2026-04，月增 -0.36%，年增 4077.66%，累計年增 1725.22%,63.44
2026-05-18,3034,聯詠,TWSE,1,475.5,19.49,4.84,4.02,468.3681,1.52,5240.29,5240.29,5240.29,5240.29,1.0,1.0,0.0,正常,1924.65,2.94,1927.58,36.73,0.06,1,0,1,0,1924.65,2.94,,,,,,,0.0,42.64,-61,1,1.18,43.39,未取得,0.0,43.39,0.0,0.0,0.0,0.0,0.0,-0.43,43.39,2026-04,8.93,1.16,-10.68,,,,營收 2026-04，月增 8.93%，年增 1.16%，累計年增 -10.68%,外資買超；投信買超；融資下降；營收 2026-04，月增 8.93%，年增 1.16%，累計年增 -10.68%,43.39
2026-05-18,6706,惠特,TWSE,1,174.0,,0.0,3.63,166.6353,4.42,7134.17,7134.17,7134.17,7134.17,1.0,1.0,0.0,正常,1177.81,172.0,1349.81,16.51,2.41,1,0,1,0,1177.81,172.0,,,,,,,0.0,42.53,412,77,-3.97,28.56,未取得,0.0,28.56,0.0,0.0,0.0,0.0,0.0,-10,28.56,2026-04,-2.72,-41.84,-58.3,,,,營收 2026-04，月增 -2.72%，年增 -41.84%，累計年增 -58.3%,外資買超；投信買超；融資增加；營收 2026-04，月增 -2.72%，年增 -41.84%，累計年增 -58.3%,28.56
2026-05-18,2313,華通,TWSE,1,259.0,45.68,1.08,6.59,251.0199,3.18,97275.86,97275.86,97275.86,97275.86,1.0,1.0,0.0,正常,13246.97,2297.0,15543.97,13.62,2.36,1,0,1,0,13246.97,2297.0,,,,,,,0.0,42.4,-605,385,0.86,43.47,未取得,0.0,43.47,0.0,0.0,0.0,0.0,0.0,0.21,43.47,2026-04,-9.04,-2.86,11.33,,,,營收 2026-04，月增 -9.04%，年增 -2.86%，累計年增 11.33%,外資買超；投信買超；融資下降；營收 2026-04，月增 -9.04%，年增 -2.86%，累計年增 11.33%,43.47
2026-05-18,2376,技嘉,TWSE,1,330.5,15.44,3.63,3.43,339.7876,-2.73,39137.87,39137.87,39137.87,39137.87,1.0,1.0,0.0,正常,694.42,3054.0,3748.42,1.77,7.8,1,0,1,0,694.42,3054.0,,,,,,,0.0,41.22,-635,4,1.62,66.84,未取得,0.0,66.84,0.0,0.0,0.0,0.0,0.0,24,66.84,2026-04,33.92,73.66,64.15,,,,營收 2026-04，月增 33.92%，年增 73.66%，累計年增 64.15%,外資買超；投信買超；融資下降；營收 2026-04，月增 33.92%，年增 73.66%，累計年增 64.15%,66.84
2026-05-18,8016,矽創,TWSE,1,275.0,17.27,4.18,2.83,272.6536,0.86,1577.18,1577.18,1577.18,1577.18,1.0,1.0,0.0,正常,146.0,17.21,163.22,9.26,1.09,1,0,1,0,146.0,17.21,,,,,,,0.0,40.02,-34,0,2.16,52.77,未取得,0.0,52.77,0.0,0.0,0.0,0.0,0.0,10.59,52.77,2026-04,-3.26,37.26,26.73,,,,營收 2026-04，月增 -3.26%，年增 37.26%，累計年增 26.73%,外資買超；投信買超；融資下降；營收 2026-04，月增 -3.26%，年增 37.26%，累計年增 26.73%,52.77
2026-05-18,1231,聯華食,TWSE,1,86.0,19.55,2.91,3.4,85.5188,0.56,379.16,379.16,379.16,379.16,1.0,1.0,0.0,正常,58.0,0.0,58.0,15.3,0.0,1,0,0,0,58.0,0.0,,,,,,,0.0,40.0,0,0,0.0,41.5,未取得,0.0,41.5,0.0,0.0,0.0,0.0,0.0,1.5,41.5,2026-04,3.52,1.0,5.64,,,,營收 2026-04，月增 3.52%，年增 1.0%，累計年增 5.64%,外資買超；營收 2026-04，月增 3.52%，年增 1.0%，累計年增 5.64%,41.5
2026-05-18,1259,安心,TPEX,1,57.2,25.54,2.1,0.72,57.2,0.0,25.0,25.0,25.0,25.0,1.0,1.0,0.0,正常,9.0,0.0,9.0,36.0,0.0,1,0,0,0,9.0,0.0,,,,,,,0.0,40.0,0,0,0.0,40.18,未取得,0.0,40.18,0.0,0.0,0.0,0.0,0.0,0.18,40.18,2026-04,-5.66,1.96,3.19,,,,營收 2026-04，月增 -5.66%，年增 1.96%，累計年增 3.19%,外資買超；營收 2026-04，月增 -5.66%，年增 1.96%，累計年增 3.19%,40.18
2026-05-18,1295,生合,TPEX,1,52.2,12.0,5.75,1.44,50.9286,2.5,91.0,91.0,91.0,91.0,1.0,1.0,0.0,正常,30.32,0.0,30.32,33.31,0.0,1,0,0,0,30.32,0.0,,,,,,,0.0,40.0,-1,0,1.1,51.08,未取得,0.0,51.08,0.0,0.0,0.0,0.0,0.0,9.98,51.08,2026-04,31.5,-10.24,50.3,,,,營收 2026-04，月增 31.5%，年增 -10.24%，累計年增 50.3%,外資買超；融資下降；營收 2026-04，月增 31.5%，年增 -10.24%，累計年增 50.3%,51.08
2026-05-18,1316,上曜,TWSE,1,10.75,,0.0,0.86,10.7253,0.23,1389.56,1389.56,1389.56,1389.56,1.0,1.0,0.0,正常,492.0,0.0,492.0,35.41,0.0,1,0,0,0,492.0,0.0,,,,,,,0.0,40.0,-16,3,1.28,62.2,未取得,0.0,62.2,0.0,0.0,0.0,0.0,0.0,20.92,62.2,2026-04,4.3,115.49,135.97,,,,營收 2026-04，月增 4.3%，年增 115.49%，累計年增 135.97%,外資買超；融資下降；營收 2026-04，月增 4.3%，年增 115.49%，累計年增 135.97%,62.2
2026-05-18,1337,再生-KY,TWSE,1,4.78,,0.0,0.35,4.7546,0.53,344.96,344.96,344.96,344.96,1.0,1.0,0.0,正常,53.0,0.0,53.0,15.36,0.0,1,0,0,0,53.0,0.0,,,,,,,0.0,40.0,-79,0,8.0,38.0,未取得,0.0,38.0,0.0,0.0,0.0,0.0,0.0,-10,38.0,2026-04,-32.04,-31.33,-20.15,,,,營收 2026-04，月增 -32.04%，年增 -31.33%，累計年增 -20.15%,外資買超；融資下降；營收 2026-04，月增 -32.04%，年增 -31.33%，累計年增 -20.15%,38.0
2026-05-18,1414,東和,TWSE,1,15.65,53.97,1.28,1.08,15.5473,0.66,305.75,305.75,305.75,305.75,1.0,1.0,0.0,正常,62.0,0.0,62.0,20.28,0.0,1,0,0,0,62.0,0.0,,,,,,,0.0,40.0,24,0,-6.28,33.33,未取得,0.0,33.33,0.0,0.0,0.0,0.0,0.0,-0.39,33.33,2026-04,16.3,-2.65,-11.67,,,,營收 2026-04，月增 16.3%，年增 -2.65%，累計年增 -11.67%,外資買超；融資增加；營收 2026-04，月增 16.3%，年增 -2.65%，累計年增 -11.67%,33.33
2026-05-18,1438,三地開發,TWSE,1,20.25,7.34,0.0,0.7,20.3433,-0.46,41.69,41.69,41.69,41.69,1.0,1.0,0.0,正常,7.0,0.0,7.0,16.79,0.0,1,0,0,0,7.0,0.0,,,,,,,0.0,40.0,-1,0,2.4,49.0,未取得,0.0,49.0,0.0,0.0,0.0,0.0,0.0,6.6,49.0,2026-04,-93.93,,161502.9,,,,營收 2026-04，月增 -93.93%，累計年增 161502.9%,外資買超；融資下降；營收 2026-04，月增 -93.93%，累計年增 161502.9%,49.0
2026-05-18,1439,雋揚,TWSE,1,25.35,8.23,1.97,0.79,25.0313,1.27,49.04,49.04,49.04,49.04,1.0,1.0,0.0,正常,14.0,0.0,14.0,28.55,0.0,1,0,0,0,14.0,0.0,,,,,,,0.0,40.0,0,0,0.0,35.95,未取得,0.0,35.95,0.0,0.0,0.0,0.0,0.0,-4.05,35.95,2026-04,-91.66,20.82,-42.23,,,,營收 2026-04，月增 -91.66%，年增 20.82%，累計年增 -42.23%,外資買超；營收 2026-04，月增 -91.66%，年增 20.82%，累計年增 -42.23%,35.95
