latest_date,stock_id,name,market,observed_days,close,20d_avg_price,close_vs_avg_pct,20d_volume_lot,20d_foreign_net_lot,20d_trust_net_lot,20d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,confluence_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,total_score
2026-04-27,4904,遠傳,TWSE,20,96.0,94.6419,1.43,130589.25,5485.83,4676.55,10162.38,4.2,3.58,0,6,0,1,-462.09,-1355.24,,,,,,,0.0,17.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,17.08
2026-04-27,2492,華新科,TWSE,20,129.5,137.4393,-5.78,217743.78,9710.18,167.53,9877.72,4.46,0.08,0,3,0,1,-788.32,-1.0,,,,,,,0.0,7.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,7.24
2026-04-27,2637,慧洋-KY,TWSE,20,72.0,72.1415,-0.2,49584.25,9380.78,360.02,9740.81,18.92,0.73,1,0,0,3,57.0,-14.65,,,,,,,0.0,34.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,34.32
2026-04-27,3209,全科,TWSE,20,53.2,47.8665,11.14,94277.91,9233.08,405.25,9638.33,9.79,0.43,0,1,0,1,-1057.0,-6.36,,,,,,,0.0,20.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,20.34
2026-04-27,6274,台燿,TPEX,20,990.0,761.6063,29.99,190004.0,5519.09,3942.46,9461.55,2.9,2.07,0,1,0,1,-156.23,-55.93,,,,,,,0.0,6.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,6.48
2026-04-27,5439,高技,TPEX,20,374.5,364.0602,2.87,173070.0,3673.04,5232.75,8905.79,2.12,3.02,0,1,1,0,-1245.72,995.0,,,,,,,0.0,22.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,22.42
2026-04-27,4919,新唐,TWSE,20,136.0,117.2149,16.03,391194.49,8393.45,44.44,8437.89,2.15,0.01,3,0,0,1,515.9,-4.0,,,,,,,0.0,5.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,5.55
2026-04-27,3062,建漢,TWSE,20,26.0,30.3848,-14.43,546625.67,7983.91,1.0,7984.91,1.46,0.0,2,0,0,0,82.03,0.0,,,,,,,0.0,11.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,11.09
2026-04-27,3450,聯鈞,TWSE,20,301.5,323.2207,-6.72,401158.38,7530.5,279.26,7809.77,1.88,0.07,0,2,0,3,-475.91,-1159.0,,,,,,,0.0,-3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,-3.01
2026-04-27,2486,一詮,TWSE,20,224.5,180.6213,24.29,155240.42,5601.58,1921.72,7523.3,3.61,1.24,0,2,0,0,-25.93,0.0,,,,,,,0.0,6.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,6.19
2026-04-27,3661,世芯-KY,TWSE,20,4160.0,3383.1837,22.96,57661.06,6283.15,1140.54,7423.69,10.9,1.98,0,1,10,0,-45.72,111.92,港商麥格理,1834.0,3405.81,花旗環球,-391.0,3533.94,-0.52,41.74,34.13,19.31,3.82,-11.0,8.0,14.0,0.0,34.13,,,,,12.87,3.18,22.14,外資與投信同買；前大買超分點約占成交 3.18%；收盤距區間均價 22.96%；收盤距分點均價 22.14%；連買：外0 / 投10,41.22
2026-04-27,1714,和桐,TWSE,20,9.67,9.916,-2.48,123721.61,6411.15,290.0,6701.15,5.18,0.23,1,0,0,3,1076.0,-3.0,,,,,,,0.0,15.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,15.78
2026-04-27,4956,光鋐,TWSE,20,46.0,41.5426,10.73,211372.19,5973.4,199.0,6172.4,2.83,0.09,4,0,5,0,564.0,2.0,,,,,,,0.0,24.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,24.72
2026-04-27,1721,三晃,TWSE,20,24.65,24.0122,2.66,111779.71,5237.06,196.0,5433.06,4.69,0.18,1,0,0,0,378.0,0.0,,,,,,,0.0,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,21.7
2026-04-27,8103,瀚荃,TWSE,20,116.5,97.9079,18.99,50760.22,4069.29,291.0,4360.29,8.02,0.57,2,0,1,0,626.75,291.0,,,,,,,0.0,26.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,26.84
2026-04-27,6269,台郡,TWSE,20,65.4,65.2042,0.3,82321.57,4327.59,2.0,4329.59,5.26,0.0,1,0,0,0,617.0,0.0,,,,,,,0.0,22.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,22.73
2026-04-27,3583,辛耘,TWSE,20,736.0,637.6279,15.43,61066.19,3181.28,1050.58,4231.86,5.21,1.72,1,0,1,0,214.29,2.0,,,,,,,0.0,20.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,資料不足或法人與分點未同向,20.76
