as_of_date,from_date,to_date,window_days,stock_id,name,rank_side,rank_no,broker_name,broker_id,buy_lot,sell_lot,net_lot,avg_price,source,source_url
2026-05-18,2026-04-20,2026-05-18,20,8087,麗升能源,sell,1,元大-汐止,989Q,,451.0,-450.0,34.33,histock,https://histock.tw/stock/branch.aspx?no=8087&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8087,麗升能源,buy,1,富邦-北高雄,962Q,501.0,,501.0,33.91,histock,https://histock.tw/stock/branch.aspx?no=8087&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8087,麗升能源,sell,2,富邦-台北,9623,,60.0,-60.0,34.4,histock,https://histock.tw/stock/branch.aspx?no=8087&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8087,麗升能源,buy,2,康和-嘉義,8459,128.0,,128.0,36.11,histock,https://histock.tw/stock/branch.aspx?no=8087&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8087,麗升能源,sell,3,中國信託-中壢,616A,,40.0,-40.0,33.8,histock,https://histock.tw/stock/branch.aspx?no=8087&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8087,麗升能源,buy,3,中國信託-嘉義,6168,51.0,,51.0,34.26,histock,https://histock.tw/stock/branch.aspx?no=8087&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8087,麗升能源,sell,4,國票-南港,7795,,30.0,-29.0,36.24,histock,https://histock.tw/stock/branch.aspx?no=8087&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8087,麗升能源,buy,4,國泰-桃園,8885,38.0,5.0,33.0,33.85,histock,https://histock.tw/stock/branch.aspx?no=8087&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8087,麗升能源,sell,5,第一金-嘉義,538M,4.0,33.0,-29.0,34.4,histock,https://histock.tw/stock/branch.aspx?no=8087&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8087,麗升能源,buy,5,凱基-台北,9268,211.0,189.0,22.0,34.2,histock,https://histock.tw/stock/branch.aspx?no=8087&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8087,麗升能源,sell,6,新光,8560,19.0,44.0,-25.0,33.44,histock,https://histock.tw/stock/branch.aspx?no=8087&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8087,麗升能源,buy,6,彰銀-台中,1233,21.0,,21.0,33.24,histock,https://histock.tw/stock/branch.aspx?no=8087&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8087,麗升能源,sell,7,兆豐-台南,7006,,25.0,-25.0,33.08,histock,https://histock.tw/stock/branch.aspx?no=8087&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8087,麗升能源,buy,7,台新-新營,9B11,21.0,1.0,20.0,34.1,histock,https://histock.tw/stock/branch.aspx?no=8087&from=20260420&to=20260518
