latest_date,stock_id,name,market,observed_days,close,20d_avg_price,close_vs_avg_pct,20d_volume_lot,20d_foreign_net_lot,20d_trust_net_lot,20d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,total_score
2026-04-24,8358,金居,TPEX,20,359.5,311.046,15.58,608597.0,24424.35,155.23,24579.58,4.01,0.03,3,0,0,1,1167.78,-1466.67,,,,,,,0.0,10.82,10.82
2026-04-24,3706,神達,TWSE,20,81.9,81.3638,0.66,222932.49,21946.11,1631.33,23577.44,9.84,0.73,0,1,0,1,-553.5,-8.0,,,,,,,0.0,31.48,31.48
2026-04-24,6488,環球晶,TPEX,20,582.0,523.4035,11.2,124267.0,15862.83,7420.81,23283.64,12.77,5.97,5,0,1,0,1269.37,759.33,,,,,,,0.0,55.43,55.43
2026-04-24,2897,王道銀行,TWSE,20,10.05,10.1459,-0.94,74105.14,21593.57,319.0,21912.57,29.14,0.43,0,3,0,0,-125.0,0.0,,,,,,,0.0,33.08,33.08
2026-04-24,6116,彩晶,TWSE,20,8.33,8.6978,-4.23,449690.66,21756.66,0.0,21756.66,4.84,0.0,0,2,0,0,-1896.0,0.0,,,,,,,0.0,12.55,12.55
2026-04-24,2501,國建,TWSE,20,25.6,24.2396,5.61,64901.08,21035.19,-111.0,20924.19,32.41,-0.17,0,1,0,0,-97.85,0.0,,,,,,,0.0,29.57,29.57
2026-04-24,8046,南電,TWSE,20,874.0,671.581,30.14,473618.87,4807.23,16008.63,20815.85,1.01,3.38,1,0,8,0,4987.02,2891.0,,,,,,,0.0,24.5,24.5
2026-04-24,2880,華南金,TWSE,20,35.0,34.7062,0.85,346334.47,81515.05,-61359.88,20155.17,23.54,-17.72,13,0,0,13,9184.54,-9400.61,,,,,,,0.0,3.16,3.16
2026-04-24,2458,義隆,TWSE,20,136.5,132.698,2.87,87379.69,22972.62,-2972.67,19999.95,26.29,-3.4,13,0,0,9,481.08,-872.34,,,,,,,0.0,26.99,26.99
2026-04-24,3105,穩懋,TPEX,20,547.0,459.9517,18.93,870719.0,3361.08,16401.26,19762.34,0.39,1.88,0,1,0,3,-1967.31,-1003.45,,,,,,,0.0,-6.2,-6.2
2026-04-24,3033,威健,TWSE,20,34.6,33.8125,2.33,77538.61,19815.48,-131.87,19683.61,25.56,-0.17,0,1,0,13,-19.8,-7.35,,,,,,,0.0,23.07,23.07
2026-04-24,2388,威盛,TWSE,20,78.2,67.3578,16.1,255649.83,18548.48,1066.51,19614.99,7.26,0.42,0,1,2,0,-58.99,238.72,,,,,,,0.0,20.69,20.69
2026-04-24,2464,盟立,TWSE,20,91.7,84.2307,8.87,184777.34,19165.26,-3.67,19161.58,10.37,-0.0,1,0,0,0,3523.05,0.0,,,,,,,0.0,26.29,26.29
2026-04-24,2855,統一證,TWSE,20,35.25,32.8097,7.44,125383.12,19027.88,-53.0,18974.88,15.18,-0.04,5,0,0,1,2033.73,-22.0,,,,,,,0.0,39.39,39.39
2026-04-24,2347,聯強,TWSE,20,82.6,80.9665,2.02,114831.89,5122.43,12438.17,17560.6,4.46,10.83,0,5,5,0,-1728.77,1946.97,,,,,,,0.0,54.42,54.42
2026-04-24,6285,啟碁,TWSE,20,208.5,220.5469,-5.46,795162.61,11773.42,5357.9,17131.32,1.48,0.67,2,0,0,6,5098.95,-1716.0,,,,,,,0.0,0.87,0.87
2026-04-24,3189,景碩,TWSE,20,526.0,424.8801,23.8,547913.35,22586.43,-5486.07,17100.37,4.12,-1.0,5,0,1,0,6593.09,2534.0,,,,,,,0.0,16.74,16.74
2026-04-24,8028,昇陽半導體,TWSE,20,242.0,203.412,18.97,328249.73,18249.35,-1371.04,16878.31,5.56,-0.42,6,0,0,3,2018.73,-73.0,,,,,,,0.0,12.69,12.69
2026-04-24,3037,欣興,TWSE,20,790.0,603.2303,30.96,366902.07,-14703.45,30690.7,15987.25,-4.01,8.36,9,0,0,1,2176.6,-492.81,,,,,,,0.0,19.88,19.88
2026-04-24,2352,佳世達,TWSE,20,24.6,24.4664,0.55,95588.57,16639.38,-1033.05,15606.34,17.41,-1.08,0,2,0,1,-945.69,-12.0,,,,,,,0.0,28.8,28.8
2026-04-24,2379,瑞昱,TWSE,20,539.0,521.1733,3.42,71213.05,19560.48,-3979.94,15580.53,27.47,-5.59,12,0,0,9,315.42,-111.1,,,,,,,0.0,15.53,15.53
2026-04-24,2885,元大金,TWSE,20,49.95,48.2113,3.61,526080.62,5811.39,9477.28,15288.67,1.1,1.8,0,5,5,0,-9074.13,3145.76,,,,,,,0.0,11.54,11.54
2026-04-24,3450,聯鈞,TWSE,20,318.0,322.2328,-1.31,407194.51,13525.68,1272.51,14798.19,3.32,0.31,0,1,0,2,-1227.6,-1136.0,,,,,,,0.0,9.33,9.33
2026-04-24,3035,智原,TWSE,20,185.0,171.3009,8.0,148664.68,14484.6,246.41,14731.01,9.74,0.17,11,0,0,0,3598.4,0.0,,,,,,,0.0,37.83,37.83
2026-04-24,2615,萬海,TWSE,20,74.2,76.8725,-3.48,175859.04,18418.74,-3691.07,14727.67,10.47,-2.1,4,0,0,9,1367.6,-20.42,,,,,,,0.0,19.95,19.95
2026-04-24,2492,華新科,TWSE,20,130.0,137.5988,-5.52,214642.68,11382.63,2319.79,13702.42,5.3,1.08,0,2,0,0,-396.97,0.0,,,,,,,0.0,17.42,17.42
2026-04-24,4960,誠美材,TWSE,20,39.55,28.2841,39.83,421046.17,13653.08,0.0,13653.08,3.24,0.0,4,0,0,0,65.54,0.0,,,,,,,0.0,13.08,13.08
2026-04-24,2344,華邦電,TWSE,20,88.2,92.0182,-4.15,3146586.59,64373.75,-50791.95,13581.8,2.05,-1.61,0,1,1,0,-704.14,2663.87,,,,,,,0.0,3.9,3.9
2026-04-24,6016,康和證,TPEX,20,18.9,17.5074,7.95,109404.0,13545.64,0.0,13545.64,12.38,0.0,8,0,0,0,5961.0,0.0,,,,,,,0.0,39.91,39.91
2026-04-24,2454,聯發科,TWSE,20,2435.0,1870.3841,30.19,280415.96,8269.07,5271.34,13540.41,2.95,1.88,2,0,9,0,828.91,1769.06,,,,,,,0.0,26.96,26.96
2026-04-24,6274,台燿,TPEX,20,1045.0,742.5811,40.73,205229.0,8228.46,4762.39,12990.85,4.01,2.32,1,0,9,0,1720.22,2.38,,,,,,,0.0,29.38,29.38
2026-04-24,2049,上銀,TWSE,20,293.5,272.1138,7.86,190696.09,13081.84,-152.82,12929.02,6.86,-0.08,0,1,1,0,-95.74,43.83,,,,,,,0.0,19.44,19.44
2026-04-24,4904,遠傳,TWSE,20,96.6,94.4732,2.25,131667.7,6922.47,5952.48,12874.95,5.26,4.52,0,5,5,0,-1916.91,1907.74,,,,,,,0.0,38.14,38.14
2026-04-24,6415,矽力*-KY,TWSE,20,436.0,343.5955,26.89,163515.29,9805.99,2884.02,12690.01,6.0,1.76,2,0,4,0,606.96,321.0,,,,,,,0.0,32.61,32.61
2026-04-24,2476,鉅祥,TWSE,20,123.5,111.0924,11.17,125673.11,12426.37,165.53,12591.9,9.89,0.13,4,0,0,0,160.05,0.0,,,,,,,0.0,32.12,32.12
2026-04-24,2402,毅嘉,TWSE,20,70.6,69.6172,1.41,584649.04,5676.84,6881.55,12558.39,0.97,1.18,0,1,0,2,-2903.2,-116.0,,,,,,,0.0,5.6,5.6
2026-04-24,5880,合庫金,TWSE,20,23.0,23.5822,-2.47,307351.73,14478.66,-2119.98,12358.68,4.71,-0.69,0,5,0,3,-8975.56,-113.58,,,,,,,0.0,-0.59,-0.59
2026-04-24,2401,凌陽,TWSE,20,25.5,23.998,6.26,147488.24,12382.48,-66.31,12316.18,8.4,-0.04,0,1,0,0,-1292.0,0.0,,,,,,,0.0,21.36,21.36
2026-04-24,2367,燿華,TWSE,20,57.4,74.2835,-22.73,2136305.79,10351.9,1956.46,12308.36,0.48,0.09,1,0,0,8,25265.13,-316.0,,,,,,,0.0,-5.84,-5.84
2026-04-24,3704,合勤控,TWSE,20,34.45,35.4737,-2.89,72547.74,12432.78,-131.03,12301.75,17.14,-0.18,0,2,0,0,-511.5,0.0,,,,,,,0.0,33.55,33.55
2026-04-24,3673,TPK-KY,TWSE,20,58.9,61.7608,-4.63,322616.99,12287.39,0.0,12287.39,3.81,0.0,0,1,0,0,-1042.71,0.0,,,,,,,0.0,11.66,11.66
2026-04-24,2883,凱基金,TWSE,20,20.3,20.5417,-1.18,806416.06,19276.52,-7008.5,12268.02,2.39,-0.87,1,0,0,10,1026.05,-1064.06,,,,,,,0.0,-0.67,-0.67
2026-04-24,2548,華固,TWSE,20,130.5,125.4366,4.04,38477.42,11583.39,57.0,11640.39,30.1,0.15,0,1,0,2,-44.92,-1.0,,,,,,,0.0,25.37,25.37
2026-04-24,4919,新唐,TWSE,20,145.0,116.0003,25.0,401823.03,11866.43,-701.7,11164.74,2.95,-0.17,2,0,3,0,632.15,35.0,,,,,,,0.0,15.19,15.19
2026-04-24,2395,研華,TWSE,20,354.0,346.6328,2.13,55087.25,11467.18,-682.07,10785.1,20.82,-1.24,14,0,0,14,138.37,-13.28,,,,,,,0.0,32.4,32.4
2026-04-24,5439,高技,TPEX,20,365.5,360.6343,1.35,173675.0,6543.6,4236.25,10779.85,3.77,2.44,1,0,0,2,1164.95,-1355.88,,,,,,,0.0,21.6,21.6
2026-04-24,3209,全科,TWSE,20,54.5,46.9758,16.02,84121.06,10346.33,408.64,10754.98,12.3,0.49,1,0,5,0,2169.14,72.56,,,,,,,0.0,41.94,41.94
2026-04-24,6244,茂迪,TPEX,20,28.3,28.1073,0.69,182832.0,10612.43,0.0,10612.43,5.8,0.0,4,0,0,0,2513.0,0.0,,,,,,,0.0,30.25,30.25
2026-04-24,2330,台積電,TWSE,20,2185.0,1960.8307,11.43,803964.93,11460.45,-864.08,10596.37,1.43,-0.11,2,0,2,0,8305.59,1168.16,,,,,,,0.0,8.64,8.64
2026-04-24,4916,事欣科,TWSE,20,65.8,65.0111,1.21,144519.06,10324.91,-349.0,9975.91,7.14,-0.24,0,1,0,8,-534.0,-49.0,,,,,,,0.0,10.71,10.71
2026-04-24,3036,文曄,TWSE,20,199.0,221.968,-10.35,159384.66,19822.41,-9946.03,9876.39,12.44,-6.24,5,0,0,1,50.63,-556.61,,,,,,,0.0,19.86,19.86
2026-04-24,3576,聯合再生,TWSE,20,15.1,19.2316,-21.48,681165.75,9716.77,1.0,9717.77,1.43,0.0,0,1,0,0,-301.69,0.0,,,,,,,0.0,4.99,4.99
2026-04-24,2637,慧洋-KY,TWSE,20,72.0,72.0909,-0.13,49234.28,9162.78,374.67,9537.46,18.61,0.76,0,2,0,2,-413.3,-10.65,,,,,,,0.0,30.9,30.9
2026-04-24,2353,宏碁,TWSE,20,27.65,27.8018,-0.55,434858.51,-2759.84,12094.06,9334.23,-0.63,2.78,0,5,0,1,-5510.2,-979.62,,,,,,,0.0,0.9,0.9
2026-04-24,2014,中鴻,TWSE,20,17.15,18.4893,-7.24,128278.1,9301.54,0.0,9301.54,7.25,0.0,0,3,0,0,-297.0,0.0,,,,,,,0.0,17.3,17.3
2026-04-24,5536,聖暉*,TPEX,20,972.0,810.7979,19.88,48306.0,10174.83,-1322.65,8852.18,21.06,-2.74,6,0,0,8,582.96,-98.84,,,,,,,0.0,18.65,18.65
2026-04-24,2605,新興,TWSE,20,33.5,39.7393,-15.7,308879.1,12314.07,-3651.0,8663.07,3.99,-1.18,1,0,0,4,46.19,-1007.0,,,,,,,0.0,2.26,2.26
2026-04-24,2845,遠東銀,TWSE,20,12.35,12.5386,-1.5,115329.2,9752.92,-1251.0,8501.92,8.46,-1.08,0,4,0,1,-2408.0,-18.0,,,,,,,0.0,15.6,15.6
2026-04-24,3162,精確,TPEX,20,81.8,71.0719,15.09,109851.0,8496.62,0.0,8496.62,7.73,0.0,0,1,0,0,-2398.28,0.0,,,,,,,0.0,15.66,15.66
2026-04-24,4540,全球傳動,TWSE,20,53.8,54.383,-1.07,105746.16,8418.67,0.0,8418.67,7.96,0.0,0,1,0,0,-292.98,0.0,,,,,,,0.0,26.29,26.29
2026-04-24,6173,信昌電,TPEX,20,76.2,80.9001,-5.81,200604.0,8353.57,0.0,8353.57,4.16,0.0,0,1,0,0,-450.11,0.0,,,,,,,0.0,12.66,12.66
2026-04-24,2393,億光,TWSE,20,70.9,70.6676,0.33,53979.28,8953.79,-634.09,8319.7,16.59,-1.17,0,1,0,1,-142.85,-82.17,,,,,,,0.0,30.56,30.56
2026-04-24,6414,樺漢,TWSE,20,312.5,293.9658,6.3,32822.03,9005.71,-796.92,8208.79,27.44,-2.43,11,0,1,0,170.14,39.12,,,,,,,0.0,38.43,38.43
2026-04-24,2329,華泰,TWSE,20,55.3,57.6193,-4.03,368994.98,9485.13,-1427.41,8057.72,2.57,-0.39,0,1,0,8,-1083.88,-201.0,,,,,,,0.0,-5.58,-5.58
2026-04-24,3661,世芯-KY,TWSE,20,4215.0,3333.5355,26.44,57353.28,7096.28,891.18,7987.47,12.37,1.55,11,0,9,0,251.31,94.95,,,,,,,0.0,53.53,53.53
2026-04-24,8070,長華*,TWSE,20,46.85,47.2092,-0.76,80460.32,9496.91,-1618.47,7878.45,11.8,-2.01,0,2,0,0,-86.0,0.0,,,,,,,0.0,24.8,24.8
2026-04-24,3016,嘉晶,TWSE,20,67.5,66.6271,1.31,72318.76,7719.51,-1.12,7718.39,10.67,-0.0,1,0,0,0,451.82,0.0,,,,,,,0.0,36.53,36.53
2026-04-24,6120,達運,TWSE,20,12.95,14.2829,-9.33,123137.96,7542.88,-15.0,7527.88,6.13,-0.01,0,2,0,0,-1395.33,0.0,,,,,,,0.0,16.11,16.11
2026-04-24,2105,正新,TWSE,20,32.1,31.9308,0.53,245006.39,-6265.45,13776.79,7511.34,-2.56,5.62,0,1,5,0,-7373.71,3138.6,,,,,,,0.0,27.9,27.9
