date,stock_id,name,market,close,avg_price,volume_lot,foreign_net_lot,trust_net_lot,dealer_net_lot
2026-04-17,2324,仁寶,TWSE,30.35,30.5961,99623.64,38011.51,-17887.35,932.5
2026-04-17,2376,技嘉,TWSE,281.5,281.5893,10874.65,3092.05,5.73,-34.87
2026-04-17,2382,廣達,TWSE,323.0,323.9186,20083.51,9627.25,-1518.17,209.88
2026-04-17,6196,帆宣,TWSE,359.0,349.4025,4011.93,721.34,-13.11,64.24
