as_of_date,from_date,to_date,window_days,stock_id,name,rank_side,rank_no,broker_name,broker_id,buy_lot,sell_lot,net_lot,avg_price,source,source_url
2026-05-18,2026-04-20,2026-05-18,20,8928,鉅明,sell,1,國票-南科,779e,,24.0,-24.0,21.21,histock,https://histock.tw/stock/branch.aspx?no=8928&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8928,鉅明,buy,1,安泰,8380,57.0,,57.0,21.27,histock,https://histock.tw/stock/branch.aspx?no=8928&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8928,鉅明,sell,2,富邦-北港,969C,,20.0,-20.0,22.71,histock,https://histock.tw/stock/branch.aspx?no=8928&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8928,鉅明,buy,2,永豐金-苓雅,9A9a,23.0,,23.0,21.14,histock,https://histock.tw/stock/branch.aspx?no=8928&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8928,鉅明,sell,3,台新-台南,9B16,1.0,17.0,-16.0,21.7,histock,https://histock.tw/stock/branch.aspx?no=8928&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8928,鉅明,buy,3,新光,8560,22.0,,22.0,21.63,histock,https://histock.tw/stock/branch.aspx?no=8928&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8928,鉅明,sell,4,台新-高雄,9B1g,2.0,18.0,-16.0,22.06,histock,https://histock.tw/stock/branch.aspx?no=8928&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8928,鉅明,buy,4,兆豐-寶成,700r,20.0,,20.0,21.29,histock,https://histock.tw/stock/branch.aspx?no=8928&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8928,鉅明,sell,5,元大-彰化民生,989J,10.0,24.0,-14.0,22.56,histock,https://histock.tw/stock/branch.aspx?no=8928&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8928,鉅明,buy,5,凱基-彰化,920G,21.0,1.0,19.0,22.47,histock,https://histock.tw/stock/branch.aspx?no=8928&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8928,鉅明,sell,6,兆豐-天母,700L,,13.0,-13.0,20.95,histock,https://histock.tw/stock/branch.aspx?no=8928&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8928,鉅明,buy,6,凱基-台北,9268,78.0,60.0,18.0,21.61,histock,https://histock.tw/stock/branch.aspx?no=8928&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8928,鉅明,sell,7,玉山-城中,884E,,13.0,-13.0,21.91,histock,https://histock.tw/stock/branch.aspx?no=8928&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8928,鉅明,buy,7,華南永昌-彰化,9363,17.0,,17.0,22.64,histock,https://histock.tw/stock/branch.aspx?no=8928&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8928,鉅明,sell,8,富邦-永和,9654,1.0,13.0,-12.0,21.6,histock,https://histock.tw/stock/branch.aspx?no=8928&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8928,鉅明,buy,8,福勝,6950,16.0,,16.0,22.24,histock,https://histock.tw/stock/branch.aspx?no=8928&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8928,鉅明,sell,9,中國信託-文心,6164,30.0,40.0,-10.0,21.4,histock,https://histock.tw/stock/branch.aspx?no=8928&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8928,鉅明,buy,9,國泰-高雄,8881,18.0,3.0,15.0,21.96,histock,https://histock.tw/stock/branch.aspx?no=8928&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8928,鉅明,sell,10,凱基-竹科,9272,,10.0,-10.0,21.9,histock,https://histock.tw/stock/branch.aspx?no=8928&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8928,鉅明,buy,10,永豐金-大園,9A98,12.0,,12.0,22.3,histock,https://histock.tw/stock/branch.aspx?no=8928&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8929,富堡,sell,1,第一金,5380,,61.0,-61.0,14.79,histock,https://histock.tw/stock/branch.aspx?no=8929&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8929,富堡,buy,1,國泰-敦南,8888,130.0,59.0,71.0,14.91,histock,https://histock.tw/stock/branch.aspx?no=8929&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8929,富堡,sell,2,凱基-埔墘,9288,2.0,44.0,-42.0,14.83,histock,https://histock.tw/stock/branch.aspx?no=8929&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8929,富堡,buy,2,國泰-板橋,888K,102.0,71.0,30.0,14.85,histock,https://histock.tw/stock/branch.aspx?no=8929&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8929,富堡,sell,3,兆豐-天母,700L,,33.0,-33.0,14.77,histock,https://histock.tw/stock/branch.aspx?no=8929&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8929,富堡,buy,3,美好-中和,526A,30.0,,30.0,14.8,histock,https://histock.tw/stock/branch.aspx?no=8929&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8929,富堡,sell,4,凱基-豐中,9223,2.0,34.0,-31.0,14.58,histock,https://histock.tw/stock/branch.aspx?no=8929&from=20260420&to=20260518
