latest_date,stock_id,name,market,industry,sub_industry,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,history_days,return_6m_pct,return_12m_pct,rs_6m_pct,rs_12m_pct,close_vs_52w_high_pct,close_vs_52w_low_pct,close_vs_ma60_pct,close_vs_ma240_pct,long_momentum_score,valuation_score,disp_date,big_holder_pct,big_holder_change_1w,big_holder_change_4w,holder_400_pct,retail_pct,retail_change_1w,dispersion_score,fin_quarter,gross_margin_pct,operating_margin_pct,net_margin_pct,gross_margin_streak,eps_ttm,pe_ttm,fundamental_score,multifactor_score,5d_avg_price,close_vs_avg_pct,5d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,5d_foreign_net_lot,5d_trust_net_lot,5d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-07-03,8033,雷虎,TWSE,其他業,軍工航太,5,204.5,305.22,0.0,16.18,32.36,,,0.0,41.52,49.715,14.0,252,36.79,220.53,-32.12,110.34,0.0,243.7,42.82,49.5,10.08,-3.5,2026-06-26,20.6,,,28.57,61.63,,0.0,2026Q1,38.21,-0.7,13.75,2,0.67,305.22,5.4,58.24,179.3488,14.02,138597.27,10966.82,27719.45,27719.45,0.4,1.0,-7.25,正常,18840.23,0.0,18840.23,13.59,0.0,5,0,0,0,2118.8,0.0,,,,,,,0.0,36.87,2285,591,-1.06,35.89,未取得,0.0,35.89,0.0,0.0,0.0,0.0,0.0,0.08,35.89,2026-05,6.98,-9.56,6.04,,,,營收 2026-05，月增 6.98%，年增 -9.56%，累計年增 6.04%,外資買超；融資增加；接近區間高點；逼近52週高點；毛利率連2升；營收 2026-05，月增 6.98%，年增 -9.56%，累計年增 6.04%,35.89
2026-07-03,2884,玉山金,TWSE,金融保險業,金控,5,33.7,15.32,4.15,1.91,-2.32,,,-3.99,2.74,20.543,-1.39,251,-0.44,-0.88,-69.35,-111.08,-7.92,14.63,2.5,2.69,0.36,3.0,2026-06-26,68.05,,,72.43,20.47,,0.0,2026Q1,,,39.96,0,2.19,15.39,4.5,35.28,33.8296,-0.38,303617.86,47694.75,60723.57,60723.57,0.79,1.0,-2.57,正常,-18414.5,35299.12,16884.62,-6.07,11.63,1,0,0,1,14073.48,-3321.3,,,,,,,0.0,22.82,796,46,-0.21,30.09,未取得,0.0,30.09,0.0,0.0,0.0,0.0,0.0,7.48,30.09,2026-05,-7.84,24.76,24.75,,,,營收 2026-05，月增 -7.84%，年增 24.76%，累計年增 24.75%,投信買超；融資增加；營收 2026-05，月增 -7.84%，年增 24.76%，累計年增 24.75%,30.09
2026-07-03,1313,聯成,TWSE,塑膠工業,,5,14.3,,0.7,0.66,17.21,,,0.0,18.18,2.011,14.0,252,40.89,79.87,-28.02,-30.32,-3.7,92.98,24.94,32.39,4.73,2.0,2026-06-26,62.57,,,66.73,25.5,,0.0,2026Q1,6.21,1.35,0.71,2,-0.89,,0.4,69.67,13.2919,7.58,75665.34,38850.53,15133.07,15133.07,2.57,1.0,21.0,強放量,16871.43,0.0,16871.43,22.3,0.0,4,0,0,0,7969.5,0.0,,,,,,,0.0,40.0,2024,180,-2.0,38.04,未取得,0.0,38.04,0.0,0.0,0.0,0.0,0.0,0.04,38.04,2026-05,-8.64,4.71,1.46,,,,營收 2026-05，月增 -8.64%，年增 4.71%，累計年增 1.46%,外資買超；融資增加；強放量；接近區間高點；毛利率連2升；營收 2026-05，月增 -8.64%，年增 4.71%，累計年增 1.46%,38.04
2026-07-03,2881,富邦金,TWSE,金融保險業,金控,5,121.0,16.64,3.51,1.85,-5.84,,,-10.04,2.54,70.536,-3.5,252,24.74,49.01,-44.16,-61.18,-14.18,51.06,13.83,28.62,2.87,3.0,2026-06-26,84.29,,,86.4,10.64,,0.0,2026Q1,,,50.69,0,7.77,15.57,4.5,9.48,124.4722,-2.79,283339.39,30661.96,56667.88,56667.88,0.54,1.0,-5.51,正常,68056.89,-51497.99,16558.9,24.02,-18.18,3,0,0,3,6328.12,-1945.66,,,,,,,0.0,4.18,20,18,-0.01,5.37,未取得,0.0,5.37,0.0,0.0,0.0,0.0,0.0,1.2,5.37,2026-05,-43.01,-300.3,83.61,,,,營收 2026-05，月增 -43.01%，年增 -300.3%，累計年增 83.61%,外資買超；融資增加；營收 2026-05，月增 -43.01%，年增 -300.3%，累計年增 83.61%,5.37
2026-07-03,2834,臺企銀,TWSE,金融保險業,,5,17.95,13.7,5.57,1.17,0.84,,,-0.55,2.57,5.566,5.5,252,11.49,13.97,-57.41,-96.22,-0.83,21.28,8.32,13.07,7.55,6.5,2026-06-26,55.6,,,61.23,26.7,,0.0,2026Q1,,,,0,1.29,13.91,1.5,70.58,17.8141,0.76,156228.45,31902.62,31245.69,31245.69,1.02,1.0,0.25,正常,15753.91,-88.07,15665.84,10.08,-0.06,2,0,2,0,19913.95,8.99,,,,,,,0.0,42.88,-1254,-2,0.8,49.41,未取得,0.0,49.41,0.0,0.0,0.0,0.0,0.0,5.73,49.41,2026-05,4.45,22.52,7.17,,,,營收 2026-05，月增 4.45%，年增 22.52%，累計年增 7.17%,外資買超；融資下降；接近區間高點；逼近52週高點；營收 2026-05，月增 4.45%，年增 22.52%，累計年增 7.17%,49.41
2026-07-03,2352,佳世達,TWSE,電腦及週邊設備業,,5,32.2,51.94,3.11,1.74,3.87,,,-7.34,8.78,11.879,2.32,246,36.15,23.61,-32.75,-86.58,-10.56,42.79,15.39,17.6,4.02,-0.5,2026-06-26,43.78,,,48.83,41.7,,0.0,2026Q1,16.67,1.34,0.62,-1,0.59,54.58,0.3,28.96,32.816,-1.88,180990.58,22936.21,36198.12,36198.12,0.63,1.0,-4.4,正常,-15726.23,29781.0,14054.77,-8.69,16.45,0,4,5,0,-4254.64,5922.0,,,,,,,0.0,24.33,-857,58,0.47,25.02,未取得,0.0,25.02,0.0,0.0,0.0,0.0,0.0,0.22,25.02,2026-05,2.56,-1.73,1.39,,,,營收 2026-05，月增 2.56%，年增 -1.73%，累計年增 1.39%,投信買超；融資下降；營收 2026-05，月增 2.56%，年增 -1.73%，累計年增 1.39%,25.02
2026-07-03,2515,中工,TWSE,建材營造業,,5,14.3,29.79,3.5,1.0,10.42,,,-1.04,11.28,1.572,11.25,252,9.58,25.44,-59.33,-84.75,-23.32,41.58,8.75,8.82,1.36,3.5,2026-06-26,53.41,,,60.84,28.63,,0.0,2026Q1,8.72,4.95,3.67,-1,0.48,29.79,0.3,81.23,13.5562,5.49,57997.37,20518.53,11599.47,11599.47,1.77,1.0,12.23,放量,13820.06,-6.0,13814.06,23.83,-0.01,4,0,0,0,4645.09,0.0,,,,,,,0.0,39.97,-608,14,1.06,58.71,未取得,0.0,58.71,0.0,0.0,0.0,0.0,0.0,17.68,58.71,2026-05,5.01,57.1,42.5,,,,營收 2026-05，月增 5.01%，年增 57.1%，累計年增 42.5%,外資買超；融資下降；放量；接近區間高點；營收 2026-05，月增 5.01%，年增 57.1%，累計年增 42.5%,58.71
2026-07-03,2382,廣達,TWSE,電腦及週邊設備業,AI伺服器/組裝,5,377.0,18.95,4.14,7.0,2.72,,,-0.26,3.86,43.558,6.63,252,43.35,38.6,-25.56,-71.59,-13.93,49.31,9.62,27.09,5.27,0.0,2026-06-26,81.27,,,85.33,11.86,,0.0,2026Q1,4.78,2.85,2.62,-4,19.89,18.95,-2.0,90.04,370.4787,1.76,58786.25,13135.15,11757.25,11757.25,1.12,1.0,1.41,正常,1126.79,11738.23,12865.02,1.92,19.97,1,0,5,0,1229.84,1974.29,,,,,,,0.0,61.33,962,21,-1.29,79.44,未取得,0.0,79.44,0.0,0.0,0.0,0.0,0.0,19.4,79.44,2026-05,-8.37,94.38,82.59,,,,營收 2026-05，月增 -8.37%，年增 94.38%，累計年增 82.59%,外資買超；投信買超；融資增加；接近區間高點；毛利率連4降；營收 2026-05，月增 -8.37%，年增 94.38%，累計年增 82.59%,79.44
2026-07-03,3706,神達,TWSE,電腦及週邊設備業,,5,91.0,17.37,4.4,1.82,5.32,,,-3.4,7.82,33.113,3.19,252,8.98,34.62,-59.92,-75.58,-16.51,46.54,6.19,6.67,1.3,3.0,2026-06-26,48.86,,,51.99,42.39,,0.0,2026Q1,9.21,3.72,4.59,-2,5.14,17.7,-0.9,48.51,90.931,0.08,182075.57,24818.44,36415.11,36415.11,0.68,1.0,-3.82,正常,-16160.1,28342.0,12181.9,-8.88,15.57,0,2,5,0,-10240.74,4257.0,,,,,,,0.0,27.1,441,34,-0.18,43.83,未取得,0.0,43.83,0.0,0.0,0.0,0.0,0.0,16.91,43.83,2026-05,17.24,49.3,37.27,,,,營收 2026-05，月增 17.24%，年增 49.3%，累計年增 37.27%,投信買超；融資增加；毛利率連2降；營收 2026-05，月增 17.24%，年增 49.3%，累計年增 37.27%,43.83
2026-07-03,2406,國碩,TWSE,光電業,,5,41.15,,0.0,3.95,8.29,,,-10.45,12.74,23.808,4.97,252,55.87,264.16,-13.03,153.97,-10.45,288.21,20.41,56.07,8.02,0.0,2026-06-26,27.76,,,35.47,55.02,,0.0,2026Q1,19.07,10.29,3.49,1,-0.46,,-0.8,42.38,42.1879,-2.46,282167.38,26784.6,56433.48,56433.48,0.47,1.0,-6.3,正常,11980.66,0.0,11980.66,4.25,0.0,0,2,0,0,-3393.99,0.0,,,,,,,0.0,13.89,-321,429,0.11,33.34,未取得,0.0,33.34,0.0,0.0,0.0,0.0,0.0,19.34,33.34,2026-05,-8.8,121.2,152.02,,,,營收 2026-05，月增 -8.8%，年增 121.2%，累計年增 152.02%,外資買超；融資下降；營收 2026-05，月增 -8.8%，年增 121.2%，累計年增 152.02%,33.34
