latest_date,stock_id,name,market,observed_days,close,pe_ratio,dividend_yield,pb_ratio,1d_avg_price,close_vs_avg_pct,1d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,1d_foreign_net_lot,1d_trust_net_lot,1d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-05-18,2882,國泰金,TWSE,1,76.8,11.62,4.56,1.34,76.9225,-0.16,26109.18,26109.18,26109.18,26109.18,1.0,1.0,0.0,正常,2814.22,-9571.31,-6757.09,10.78,-36.66,1,0,0,1,2814.22,-9571.31,,,,,,,0.0,-17.5,319,1293,-0.98,-4.28,未取得,0.0,-4.28,0.0,0.0,0.0,0.0,0.0,14.2,-4.28,2026-04,53.36,359.93,-8.75,,,,營收 2026-04，月增 53.36%，年增 359.93%，累計年增 -8.75%,外資買超；融資增加；營收 2026-04，月增 53.36%，年增 359.93%，累計年增 -8.75%,-4.28
2026-05-18,4960,誠美材,TWSE,1,33.5,,0.0,2.62,32.5519,2.91,12565.12,12565.12,12565.12,12565.12,1.0,1.0,0.0,正常,2798.0,0.0,2798.0,22.27,0.0,1,0,0,0,2798.0,0.0,,,,,,,0.0,40.0,-1374,-97,7.77,46.72,未取得,0.0,46.72,0.0,0.0,0.0,0.0,0.0,-1.05,46.72,2026-04,15.24,-5.56,-11.71,,,,營收 2026-04，月增 15.24%，年增 -5.56%，累計年增 -11.71%,外資買超；融資下降；營收 2026-04，月增 15.24%，年增 -5.56%，累計年增 -11.71%,46.72
2026-05-18,8112,至上,TWSE,1,84.1,10.13,4.52,2.4,82.6223,1.79,17750.42,17750.42,17750.42,17750.42,1.0,1.0,0.0,正常,2607.28,-19.99,2587.29,14.69,-0.11,1,0,0,1,2607.28,-19.99,,,,,,,0.0,36.88,-562,52,3.34,56.89,未取得,0.0,56.89,0.0,0.0,0.0,0.0,0.0,16.67,56.89,2026-04,-34.24,55.96,111.09,,,,營收 2026-04，月增 -34.24%，年增 55.96%，累計年增 111.09%,外資買超；融資下降；營收 2026-04，月增 -34.24%，年增 55.96%，累計年增 111.09%,56.89
2026-05-18,2484,希華,TWSE,1,41.0,55.41,1.71,1.59,39.8196,2.96,15616.17,15616.17,15616.17,15616.17,1.0,1.0,0.0,正常,2491.1,0.0,2491.1,15.95,0.0,1,0,0,0,2491.1,0.0,,,,,,,0.0,40.0,-5,61,0.27,41.49,未取得,0.0,41.49,0.0,0.0,0.0,0.0,0.0,1.22,41.49,2026-04,16.51,0.03,-4.78,,,,營收 2026-04，月增 16.51%，年增 0.03%，累計年增 -4.78%,外資買超；融資下降；營收 2026-04，月增 16.51%，年增 0.03%，累計年增 -4.78%,41.49
2026-05-18,2890,永豐金,TWSE,1,30.0,16.39,4.33,1.7,30.1312,-0.44,31865.54,31865.54,31865.54,31865.54,1.0,1.0,0.0,正常,2480.67,-4967.0,-2486.33,7.78,-15.59,1,0,0,1,2480.67,-4967.0,,,,,,,0.0,-16.17,19,1,-0.05,4.24,未取得,0.0,4.24,0.0,0.0,0.0,0.0,0.0,20.46,4.24,2026-04,13.74,87.36,50.08,,,,營收 2026-04，月增 13.74%，年增 87.36%，累計年增 50.08%,外資買超；融資增加；營收 2026-04，月增 13.74%，年增 87.36%，累計年增 50.08%,4.24
2026-05-18,3024,憶聲,TWSE,1,17.8,197.78,1.24,1.63,17.4098,2.24,7458.19,7458.19,7458.19,7458.19,1.0,1.0,0.0,正常,2398.0,0.0,2398.0,32.15,0.0,1,0,0,0,2398.0,0.0,,,,,,,0.0,40.0,-21,15,0.4,30.4,未取得,0.0,30.4,0.0,0.0,0.0,0.0,0.0,-10,30.4,2026-04,-8.62,-70.82,-62.22,,,,營收 2026-04，月增 -8.62%，年增 -70.82%，累計年增 -62.22%,外資買超；融資下降；營收 2026-04，月增 -8.62%，年增 -70.82%，累計年增 -62.22%,30.4
2026-05-18,2408,南亞科,TWSE,1,305.0,27.31,0.49,4.9,297.6565,2.47,117077.71,117077.71,117077.71,117077.71,1.0,1.0,0.0,正常,2181.5,-8258.0,-6076.5,1.86,-7.05,1,0,0,1,2181.5,-8258.0,,,,,,,0.0,-18.56,-192,-33,0.16,5.6,未取得,0.0,5.6,0.0,0.0,0.0,0.0,0.0,24,5.6,2026-04,40.29,717.33,623.58,,,,營收 2026-04，月增 40.29%，年增 717.33%，累計年增 623.58%,外資買超；融資下降；營收 2026-04，月增 40.29%，年增 717.33%，累計年增 623.58%,5.6
2026-05-18,2867,三商壽,TWSE,1,7.69,54.93,0.0,0.58,7.7069,-0.22,5843.32,5843.32,5843.32,5843.32,1.0,1.0,0.0,正常,2169.0,0.0,2169.0,37.12,0.0,1,0,0,0,2169.0,0.0,,,,,,,0.0,40.0,0,0,0.0,44.48,未取得,0.0,44.48,0.0,0.0,0.0,0.0,0.0,4.48,44.48,2026-04,-1066.88,182.7,-20.75,,,,營收 2026-04，月增 -1066.88%，年增 182.7%，累計年增 -20.75%,外資買超；營收 2026-04，月增 -1066.88%，年增 182.7%，累計年增 -20.75%,44.48
2026-05-18,6271,同欣電,TWSE,1,185.0,27.45,1.62,1.46,181.7835,1.77,5745.63,5745.63,5745.63,5745.63,1.0,1.0,0.0,正常,2047.95,0.0,2047.95,35.64,0.0,1,0,0,0,2047.95,0.0,,,,,,,0.0,40.0,-142,11,2.59,42.91,未取得,0.0,42.91,0.0,0.0,0.0,0.0,0.0,0.32,42.91,2026-04,4.01,0.92,-2.03,,,,營收 2026-04，月增 4.01%，年增 0.92%，累計年增 -2.03%,外資買超；融資下降；營收 2026-04，月增 4.01%，年增 0.92%，累計年增 -2.03%,42.91
2026-05-18,3034,聯詠,TWSE,1,475.5,19.49,4.84,4.02,468.3681,1.52,5240.29,5240.29,5240.29,5240.29,1.0,1.0,0.0,正常,1924.65,2.94,1927.58,36.73,0.06,1,0,1,0,1924.65,2.94,,,,,,,0.0,42.64,-61,1,1.18,43.39,未取得,0.0,43.39,0.0,0.0,0.0,0.0,0.0,-0.43,43.39,2026-04,8.93,1.16,-10.68,,,,營收 2026-04，月增 8.93%，年增 1.16%，累計年增 -10.68%,外資買超；投信買超；融資下降；營收 2026-04，月增 8.93%，年增 1.16%，累計年增 -10.68%,43.39
