latest_date,stock_id,name,market,close,1d_avg_price,close_vs_avg_pct,1d_volume_lot,1d_foreign_net_lot,1d_trust_net_lot,1d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,chip_score
2026-04-17,8932,智通*,TPEX,89.9,89.5337,0.41,1661.93,272.99,0.0,272.99,16.43,0.0,1,0,0,0,272.99,0.0,40.0
2026-04-17,9136,巨騰-DR,TWSE,10.15,10.0888,0.61,3516.05,749.0,0.0,749.0,21.3,0.0,1,0,0,0,749.0,0.0,40.0
2026-04-17,9908,大台北,TWSE,29.85,29.8266,0.08,302.29,46.56,0.0,46.56,15.4,0.0,1,0,0,0,46.56,0.0,40.0
2026-04-17,9926,新海,TWSE,50.0,49.9685,0.06,25.79,7.89,0.0,7.89,30.6,0.0,1,0,0,0,7.89,0.0,40.0
2026-04-17,9930,中聯資源,TWSE,71.1,70.9316,0.24,101.7,40.07,0.0,40.07,39.4,0.0,1,0,0,0,40.07,0.0,40.0
2026-04-17,9934,成霖,TWSE,9.63,9.6081,0.23,387.75,67.02,0.0,67.02,17.28,0.0,1,0,0,0,67.02,0.0,40.0
2026-04-17,9937,全國,TWSE,57.5,57.5164,-0.03,36.9,23.34,0.0,23.34,63.25,0.0,1,0,0,0,23.34,0.0,40.0
2026-04-17,9942,茂順,TWSE,117.5,117.5803,-0.07,48.45,13.41,0.0,13.41,27.69,0.0,1,0,0,0,13.41,0.0,40.0
2026-04-17,9944,新麗,TWSE,16.7,16.5682,0.8,51.47,17.27,0.0,17.27,33.55,0.0,1,0,0,0,17.27,0.0,40.0
2026-04-17,6936,永鴻生技,TWSE,35.7,35.6141,0.24,53.58,8.0,0.0,8.0,14.93,0.0,1,0,0,0,8.0,0.0,39.94
2026-04-17,5302,太欣,TPEX,10.95,11.0438,-0.85,576.62,86.0,0.0,86.0,14.91,0.0,1,0,0,0,86.0,0.0,39.93
2026-04-17,8111,立碁,TPEX,79.2,77.6289,2.02,16317.48,2433.97,0.0,2433.97,14.92,0.0,1,0,0,0,2433.97,0.0,39.93
2026-04-17,3071,協禧,TPEX,30.15,30.2982,-0.49,948.36,141.0,0.0,141.0,14.87,0.0,1,0,0,0,141.0,0.0,39.89
2026-04-17,4116,明基醫,TPEX,41.0,40.9078,0.23,20.23,3.0,0.0,3.0,14.83,0.0,1,0,0,0,3.0,0.0,39.86
2026-04-17,3317,尼克森,TPEX,54.6,53.9971,1.12,5029.24,744.98,0.0,744.98,14.81,0.0,1,0,0,0,744.98,0.0,39.85
2026-04-17,6230,尼得科超眾,TWSE,161.0,161.6197,-0.38,221.99,32.21,0.0,32.21,14.51,0.0,1,0,0,0,32.21,0.0,39.61
2026-04-17,3021,鴻名,TWSE,16.4,16.3759,0.15,56.83,8.24,0.0,8.24,14.49,0.0,1,0,0,0,8.24,0.0,39.59
2026-04-17,6689,伊雲谷,TWSE,71.1,72.1939,-1.52,380.62,54.34,0.0,54.34,14.28,0.0,1,0,0,0,54.34,0.0,39.42
2026-04-17,6204,艾華,TPEX,68.5,67.1699,1.98,378.56,54.0,0.0,54.0,14.26,0.0,1,0,0,0,54.0,0.0,39.41
2026-04-17,3501,維熹,TWSE,47.95,48.0952,-0.3,167.02,23.59,0.0,23.59,14.12,0.0,1,0,0,0,23.59,0.0,39.3
2026-04-17,4129,聯合,TPEX,105.5,105.5216,-0.02,256.26,36.0,0.0,36.0,14.05,0.0,1,0,0,0,36.0,0.0,39.24
2026-04-17,4534,慶騰,TPEX,26.3,26.6787,-1.42,897.39,125.98,0.0,125.98,14.04,0.0,1,0,0,0,125.98,0.0,39.23
2026-04-17,3591,艾笛森,TWSE,24.75,24.4163,1.37,5701.66,799.72,0.0,799.72,14.03,0.0,1,0,0,0,799.72,0.0,39.22
2026-04-17,6438,迅得,TWSE,179.0,178.5649,0.24,1884.19,263.39,0.0,263.39,13.98,0.0,1,0,0,0,263.39,0.0,39.18
2026-04-17,1104,環泥,TWSE,29.35,29.1913,0.54,1357.88,189.41,0.0,189.41,13.95,0.0,1,0,0,0,189.41,0.0,39.16
2026-04-17,6284,佳邦,TPEX,88.9,89.9276,-1.14,4221.58,589.0,0.0,589.0,13.95,0.0,1,0,0,0,589.0,0.0,39.16
2026-04-17,2049,上銀,TWSE,291.0,289.6041,0.48,12709.86,1741.94,0.0,1741.94,13.71,0.0,1,0,0,0,1741.94,0.0,38.96
