as_of_date,from_date,to_date,window_days,stock_id,name,rank_side,rank_no,broker_name,broker_id,buy_lot,sell_lot,net_lot,avg_price,source,source_url
2026-05-18,2026-04-20,2026-05-18,20,4530,宏易,sell,1,元大-三重,988C,54.0,142.0,-87.0,26.05,histock,https://histock.tw/stock/branch.aspx?no=4530&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,4530,宏易,buy,1,中國信託,6160,27.0,,27.0,25.58,histock,https://histock.tw/stock/branch.aspx?no=4530&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,4530,宏易,sell,2,兆豐-來福,700C,,66.0,-66.0,26.16,histock,https://histock.tw/stock/branch.aspx?no=4530&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,4530,宏易,buy,2,新光-桃園,8565,24.0,2.0,22.0,25.31,histock,https://histock.tw/stock/branch.aspx?no=4530&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,4530,宏易,sell,3,華南永昌,9300,2.0,20.0,-18.0,25.09,histock,https://histock.tw/stock/branch.aspx?no=4530&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,4530,宏易,buy,3,元大-北屯,989d,20.0,,20.0,26.18,histock,https://histock.tw/stock/branch.aspx?no=4530&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,4530,宏易,sell,4,永豐金-永康,9A9c,,9.0,-8.0,26.46,histock,https://histock.tw/stock/branch.aspx?no=4530&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,4530,宏易,buy,4,永豐金-南京,9A9S,17.0,,17.0,25.06,histock,https://histock.tw/stock/branch.aspx?no=4530&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,4530,宏易,sell,5,凱基-台北,9268,17.0,23.0,-5.0,25.77,histock,https://histock.tw/stock/branch.aspx?no=4530&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,4530,宏易,buy,5,元大-高雄,981m,16.0,,16.0,24.85,histock,https://histock.tw/stock/branch.aspx?no=4530&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,4530,宏易,sell,6,凱基-信義,9216,,5.0,-5.0,26.73,histock,https://histock.tw/stock/branch.aspx?no=4530&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,4530,宏易,buy,6,兆豐-南京,700P,16.0,,16.0,27.96,histock,https://histock.tw/stock/branch.aspx?no=4530&from=20260420&to=20260518
