latest_date,stock_id,name,market,observed_days,close,20d_avg_price,close_vs_avg_pct,20d_volume_lot,20d_foreign_net_lot,20d_trust_net_lot,20d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,confluence_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,total_score
2026-04-27,3679,新至陞,TWSE,20,118.0,119.9776,-1.65,1178.01,179.16,0.0,179.16,15.21,0.0,2,0,0,0,32.0,0.0,美商高盛,67.0,119.83,元大-蘆洲,-86.0,117.84,13.17,42.0,51.73,22.5,6.83,14.0,2.4,6.0,0.0,51.73,,,,,15.21,5.69,-1.53,外資主導買超；前大買超分點約占成交 5.69%；收盤距區間均價 -1.65%；收盤距分點均價 -1.53%；連買：外2 / 投0,55.17
2026-04-27,9926,新海,TWSE,20,49.3,49.7702,-0.94,1134.16,192.16,0.0,192.16,16.94,0.0,2,0,0,0,20.0,0.0,花旗環球,57.0,49.84,台新,-156.0,49.75,9.15,42.0,50.93,22.5,6.03,14.0,2.4,6.0,0.0,50.93,,,,,16.94,5.03,-1.08,外資主導買超；前大買超分點約占成交 5.03%；收盤距區間均價 -0.94%；收盤距分點均價 -1.08%；連買：外2 / 投0,51.15
2026-04-27,6183,關貿,TWSE,20,92.6,93.4656,-0.93,673.43,155.55,0.0,155.55,23.1,0.0,2,0,0,0,11.0,0.0,摩根大通,33.0,93.74,凱基-台南,-27.0,93.53,13.88,42.0,50.78,22.5,5.88,14.0,2.4,6.0,0.0,50.78,,,,,23.1,4.9,-1.22,外資主導買超；前大買超分點約占成交 4.9%；收盤距區間均價 -0.93%；收盤距分點均價 -1.22%；連買：外2 / 投0,55.88
2026-04-27,3546,宇峻,TPEX,20,70.6,70.355,0.35,3030.0,519.95,0.0,519.95,17.16,0.0,2,0,0,0,51.0,0.0,新加坡商瑞銀,121.0,70.47,台新,-134.0,70.06,12.58,42.0,49.69,22.5,4.79,14.0,2.4,6.0,0.0,49.69,,,,,17.16,3.99,0.18,外資主導買超；前大買超分點約占成交 3.99%；收盤距區間均價 0.35%；收盤距分點均價 0.18%；連買：外2 / 投0,54.58
2026-04-27,9942,茂順,TWSE,20,116.0,116.4792,-0.41,1645.92,271.54,-0.47,271.07,16.5,-0.03,2,0,0,0,3.0,0.0,凱基-台北,59.0,116.22,玉山-大里,-142.0,116.1,9.99,41.93,49.2,22.5,4.3,14.0,2.4,6.0,0.0,49.2,,,,,16.47,3.58,-0.19,外資主導買超；前大買超分點約占成交 3.58%；收盤距區間均價 -0.41%；收盤距分點均價 -0.19%；連買：外2 / 投0,51.92
2026-04-27,3528,安馳,TWSE,20,76.5,71.7913,6.56,6151.68,939.3,0.0,939.3,15.27,0.0,5,0,0,0,48.0,0.0,美商高盛,392.0,71.87,台新,-71.0,71.4,9.07,42.0,42.15,22.5,7.65,0.0,6.0,6.0,0.0,42.15,,,,,15.27,6.37,6.44,外資主導買超；前大買超分點約占成交 6.37%；收盤距區間均價 6.56%；收盤距分點均價 6.44%；連買：外5 / 投0,51.07
2026-04-27,2072,世紀風電,TWSE,20,173.5,181.4026,-4.36,14547.8,1278.99,607.0,1885.99,8.79,4.17,2,0,0,0,118.0,0.0,元大-中壢,648.0,182.43,永豐金-松山,-448.0,183.16,7.81,45.39,41.19,19.45,5.35,0.0,2.4,14.0,0.0,41.19,,,,,12.96,4.45,-4.9,外資與投信同買；前大買超分點約占成交 4.45%；收盤距區間均價 -4.36%；收盤距分點均價 -4.9%；連買：外2 / 投0,53.2
2026-04-27,6165,浪凡,TWSE,20,52.0,48.6049,6.99,13151.47,2415.12,0.0,2415.12,18.36,0.0,9,0,0,0,468.0,0.0,群益金鼎,546.0,49.4,富邦-內湖,-222.0,45.66,6.14,42.0,39.48,22.5,4.98,0.0,6.0,6.0,0.0,39.48,,,,,18.36,4.15,5.26,外資主導買超；前大買超分點約占成交 4.15%；收盤距區間均價 6.99%；收盤距分點均價 5.26%；連買：外9 / 投0,48.14
2026-04-27,6488,環球晶,TPEX,20,620.0,535.3653,15.81,137578.0,17139.44,7086.0,24225.44,12.46,5.15,6,0,2,0,968.53,45.19,台灣摩根士丹利,3927.0,519.85,合庫,-1669.0,555.53,-1.18,55.88,38.13,22.5,3.43,-11.0,9.2,14.0,1.22,39.35,2026-03,23.78,0.09,-10.32,17.61,2.85,19.27,外資與投信同買；前大買超分點約占成交 2.85%；收盤距區間均價 15.81%；收盤距分點均價 19.27%；連買：外6 / 投2；營收 2026-03，月增 23.78%，年增 0.09%，累計年增 -10.32%,54.7
2026-04-27,6016,康和證,TPEX,20,19.0,17.7165,7.24,121532.0,15282.39,0.0,15282.39,12.57,0.0,9,0,0,0,1350.85,0.0,永豐金-板新,4997.0,17.94,合庫-自強,-1657.0,16.93,6.25,40.06,35.8,18.86,4.93,0.0,6.0,6.0,0.0,35.8,,,,,12.57,4.11,5.91,外資主導買超；前大買超分點約占成交 4.11%；收盤距區間均價 7.24%；收盤距分點均價 5.91%；連買：外9 / 投0,46.31
2026-04-27,7734,印能科技,TPEX,20,3390.0,2646.9991,28.07,12058.0,220.52,1367.49,1588.01,1.83,11.34,1,0,4,0,14.84,247.0,元大,455.0,2628.77,群益金鼎,-147.0,2485.69,-0.08,47.19,34.88,19.75,4.53,-11.0,7.6,14.0,0.0,34.88,,,,,13.17,3.77,28.96,外資與投信同買；前大買超分點約占成交 3.77%；收盤距區間均價 28.07%；收盤距分點均價 28.96%；連買：外1 / 投4,47.11
2026-04-27,3661,世芯-KY,TWSE,20,4160.0,3383.1837,22.96,57661.06,6283.15,1140.54,7423.69,10.9,1.98,0,1,10,0,-45.72,111.92,港商麥格理,1834.0,3405.81,花旗環球,-391.0,3533.94,-0.52,41.74,34.13,19.31,3.82,-11.0,8.0,14.0,0.0,34.13,,,,,12.87,3.18,22.14,外資與投信同買；前大買超分點約占成交 3.18%；收盤距區間均價 22.96%；收盤距分點均價 22.14%；連買：外0 / 投10,41.22
2026-04-27,7751,竑騰,TPEX,20,2645.0,2054.391,28.75,8497.0,222.06,778.0,1000.06,2.61,9.16,2,0,7,0,160.71,5.0,富邦,127.0,1994.3,華南永昌-古亭,-267.0,1934.08,-3.78,50.03,32.85,17.65,1.79,-11.0,10.4,14.0,0.0,32.85,,,,,11.77,1.49,32.63,外資與投信同買；前大買超分點約占成交 1.49%；收盤距區間均價 28.75%；收盤距分點均價 32.63%；連買：外2 / 投7,46.25
