latest_date,stock_id,name,market,industry,sub_industry,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,history_days,return_6m_pct,return_12m_pct,rs_6m_pct,rs_12m_pct,close_vs_52w_high_pct,close_vs_52w_low_pct,close_vs_ma60_pct,close_vs_ma240_pct,long_momentum_score,valuation_score,disp_date,big_holder_pct,big_holder_change_1w,big_holder_change_4w,holder_400_pct,retail_pct,retail_change_1w,dispersion_score,fin_quarter,gross_margin_pct,operating_margin_pct,net_margin_pct,gross_margin_streak,eps_ttm,pe_ttm,fundamental_score,multifactor_score,20d_avg_price,close_vs_avg_pct,20d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,20d_foreign_net_lot,20d_trust_net_lot,20d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-07-03,2428,興勤,TWSE,電子零組件業,,20,342.0,31.09,1.73,3.73,20.85,63.78,78.13,0.0,33.86,8.732,15.0,252,98.84,161.07,29.93,50.88,0.0,170.36,42.95,85.28,19.59,0.0,2026-06-26,52.55,,,64.15,25.57,,0.0,2026Q1,33.97,19.9,13.78,-3,11.0,31.09,-0.5,62.7,301.0949,13.59,58003.71,4563.41,2900.19,2551.13,1.57,0.88,7.96,放量,2309.56,-3.0,2306.56,3.98,-0.01,7,0,0,0,957.4,0.0,,,,,,,0.0,17.13,280,32,-0.35,24.63,未取得,0.0,24.63,0.0,0.0,0.0,0.0,0.0,7.85,24.63,2026-05,0.62,29.74,15.12,,,,營收 2026-05，月增 0.62%，年增 29.74%，累計年增 15.12%,外資買超；融資增加；放量；接近區間高點；逼近52週高點；波動偏高；毛利率連3降；營收 2026-05，月增 0.62%，年增 29.74%，累計年增 15.12%,24.63
2026-07-03,5314,世紀*,TPEX,其他業,,20,71.5,13.88,2.47,10.97,16.83,70.15,71.96,0.0,29.29,3.844,15.0,248,-29.21,48.96,-98.11,-61.23,-51.69,58.89,5.34,-19.57,-12.0,0.0,2026-06-26,41.26,,,45.16,49.54,,0.0,2026Q1,41.29,11.48,8.27,-2,5.15,13.88,-0.9,41.62,64.9327,10.11,118411.0,28765.0,5920.55,15652.8,4.86,2.64,30.0,強放量,2235.93,7.5,2243.43,1.89,0.01,2,0,0,0,5495.76,0.0,,,,,,,0.0,5.31,2560,160,-1.65,24.52,未取得,0.0,24.52,0.0,0.0,0.0,0.0,0.0,20.86,24.52,2026-05,3.84,157.46,160.59,,,,營收 2026-05，月增 3.84%，年增 157.46%，累計年增 160.59%,外資買超；投信買超；融資增加；強放量；接近區間高點；年線之下；波動偏高；毛利率連2降；營收 2026-05，月增 3.84%，年增 157.46%，累計年增 160.59%,24.52
2026-07-03,6174,安碁,TPEX,電子零組件業,,20,61.8,85.83,0.55,4.66,41.42,65.62,98.49,0.0,57.05,2.778,15.0,252,199.27,219.38,130.37,109.19,0.0,230.48,48.45,132.6,22.0,-2.0,2026-06-26,56.8,,,61.81,33.02,,0.0,2026Q1,34.22,10.11,9.9,-1,0.72,85.83,0.3,50.28,52.9145,16.79,104987.0,8858.0,5249.35,6463.2,1.69,1.23,14.95,放量,996.25,0.0,996.25,0.95,0.0,1,0,0,0,467.23,0.0,,,,,,,0.0,0.66,305,65,-0.2,7.51,未取得,0.0,7.51,0.0,0.0,0.0,0.0,0.0,7.05,7.51,2026-05,-7.07,24.83,21.41,,,,營收 2026-05，月增 -7.07%，年增 24.83%，累計年增 21.41%,外資買超；融資增加；放量；接近區間高點；逼近52週高點；波動偏高；營收 2026-05，月增 -7.07%，年增 24.83%，累計年增 21.41%,7.51
2026-07-03,6223,旺矽,TPEX,半導體業,,20,7380.0,196.49,0.3,45.9,28.01,63.62,78.46,-0.27,42.2,65.016,15.0,252,225.83,620.0,156.92,509.81,-0.27,768.24,29.51,147.36,22.0,-3.5,2026-06-26,39.29,,,49.95,28.01,,0.0,2026Q1,59.45,32.37,31.21,2,38.34,192.49,6.9,76.71,6368.491,15.88,20418.0,581.0,1020.9,927.8,0.57,0.91,-6.63,正常,-1032.08,1523.04,490.96,-5.05,7.46,3,0,2,0,39.91,54.13,元大證券,280.0,,香港上海匯豐,396.0,,0.68,17.46,-199,-10,0.96,39.62,已取得,15.05,54.67,3.61,1.65,-5.0,6.8,8.0,21.2,39.62,2026-05,28.36,57.81,46.19,2.4,1.37,,投信主導買超；前大買超分點約占成交 1.37%；收盤距區間均價 15.88%；連買：外3 / 投2；營收 2026-05，月增 28.36%，年增 57.81%，累計年增 46.19%,投信買超；融資下降；接近區間高點；逼近52週高點；波動偏高；毛利率連2升；營收 2026-05，月增 28.36%，年增 57.81%，累計年增 46.19%,39.62
2026-07-03,3532,台勝科,TWSE,半導體業,,20,440.0,556.96,0.23,7.04,51.72,72.12,110.48,-0.79,68.58,9.687,15.0,252,356.43,489.02,287.53,378.83,-0.79,512.81,62.78,199.56,22.0,-3.5,2026-06-26,88.28,,,91.26,6.42,,0.0,2026Q1,0.83,-3.18,-2.06,-2,0.79,556.96,-3.9,27.29,367.1281,19.85,52770.64,992.6,2638.53,1004.74,0.38,0.38,-12.0,量縮,-1206.83,1399.4,192.57,-2.29,2.65,0,4,3,0,-76.04,105.0,,,,,,,0.0,-2.15,861,-52,-1.33,3.69,未取得,0.0,3.69,0.0,0.0,0.0,0.0,0.0,7.17,3.69,2026-05,4.21,24.43,14.18,,,,營收 2026-05，月增 4.21%，年增 24.43%，累計年增 14.18%,投信買超；融資增加；接近區間高點；逼近52週高點；波動偏高；毛利率連2降；營收 2026-05，月增 4.21%，年增 24.43%，累計年增 14.18%,3.69
2026-07-03,2059,川湖,TWSE,電子零組件業,連接器,20,8000.0,70.52,0.64,24.18,42.35,68.47,77.56,-1.84,61.78,49.5,15.0,252,111.36,272.96,42.46,162.77,-1.84,306.09,51.28,110.13,21.1,-3.5,2026-06-26,56.38,,,66.56,17.42,,0.0,2026Q1,77.74,67.06,63.96,2,113.46,70.51,6.9,53.88,6851.6234,16.76,14449.06,393.29,722.45,393.15,0.54,0.54,-12.0,量縮,139.19,43.3,182.49,0.96,0.3,0,4,2,0,-41.15,25.15,,,,,,,0.0,-3.31,55,-2,-0.31,20.38,未取得,0.0,20.38,0.0,0.0,0.0,0.0,0.0,24,20.38,2026-05,46.05,172.05,74.16,,,,營收 2026-05，月增 46.05%，年增 172.05%，累計年增 74.16%,外資買超；投信買超；融資增加；接近區間高點；逼近52週高點；波動偏高；毛利率連2升；營收 2026-05，月增 46.05%，年增 172.05%，累計年增 74.16%,20.38
2026-07-03,3402,漢科,TPEX,其他電子業,,20,155.0,21.15,3.87,5.77,9.93,60.42,58.29,-1.27,22.05,1.544,14.96,252,26.53,57.04,-42.37,-53.15,-3.43,72.03,11.56,21.8,3.05,1.5,2026-06-26,24.52,,,29.55,60.61,,0.0,2026Q1,21.0,11.34,8.32,1,7.33,21.15,2.7,80.07,145.6368,6.43,21207.0,1402.0,1060.35,1533.2,1.32,1.45,14.0,放量,3408.93,135.3,3544.24,16.07,0.64,5,0,0,0,352.03,0.0,台灣摩根士丹利,1113.0,,宏遠證券,206.0,,5.81,43.6,-338,0,1.59,50.86,已取得,48.8,99.66,22.5,6.3,0.0,6.0,14.0,5.67,50.86,2026-05,2.23,17.57,13.97,16.71,5.25,,外資與投信同買；前大買超分點約占成交 5.25%；收盤距區間均價 6.43%；連買：外5 / 投0；營收 2026-05，月增 2.23%，年增 17.57%，累計年增 13.97%,外資買超；投信買超；融資下降；放量；接近區間高點；營收 2026-05，月增 2.23%，年增 17.57%，累計年增 13.97%,50.86
2026-07-03,6257,矽格,TWSE,半導體業,,20,254.5,38.04,1.67,5.63,14.13,67.01,73.41,-1.17,30.18,25.18,14.48,252,121.3,232.68,52.4,122.49,-1.17,238.88,20.94,94.85,22.0,0.0,2026-06-26,42.13,,,51.6,38.88,,0.0,2026Q1,31.66,22.37,19.0,2,6.67,38.16,5.4,65.07,231.0112,10.17,217996.0,8486.92,10899.8,10380.63,0.78,0.95,-3.42,正常,12497.13,430.07,12927.2,5.73,0.2,1,0,1,0,1290.38,207.03,,,,,,,0.0,17.2,-1031,-182,0.45,24.9,未取得,0.0,24.9,0.0,0.0,0.0,0.0,0.0,7.25,24.9,2026-05,1.58,23.71,17.48,,,,營收 2026-05，月增 1.58%，年增 23.71%，累計年增 17.48%,外資買超；投信買超；融資下降；接近區間高點；逼近52週高點；波動偏高；毛利率連2升；營收 2026-05，月增 1.58%，年增 23.71%，累計年增 17.48%,24.9
2026-07-03,2103,台橡,TWSE,橡膠工業,,20,23.5,35.07,1.15,0.95,8.29,59.09,54.9,0.0,16.92,1.236,13.97,252,46.88,37.03,-22.03,-73.17,0.0,72.79,15.2,33.42,12.04,2.0,2026-06-26,50.14,,,55.11,34.22,,0.0,2026Q1,12.25,6.3,4.22,3,0.67,35.07,5.0,85.2,21.7854,7.87,113485.59,20839.6,5674.28,6061.46,3.67,1.07,22.09,強放量,14068.9,-1.0,14067.9,12.4,-0.0,2,0,0,0,3639.32,0.0,美商高盛,5465.0,,國泰-台中,1219.0,,5.24,33.91,1065,143,-0.68,41.15,已取得,32.77,73.92,18.59,5.78,0.0,2.4,6.0,7.92,41.15,2026-05,3.93,32.96,9.48,12.4,4.82,,外資主導買超；前大買超分點約占成交 4.82%；收盤距區間均價 7.87%；連買：外2 / 投0；營收 2026-05，月增 3.93%，年增 32.96%，累計年增 9.48%,外資買超；融資增加；強放量；接近區間高點；逼近52週高點；毛利率連3升；營收 2026-05，月增 3.93%，年增 32.96%，累計年增 9.48%,41.15
2026-07-03,1907,永豐餘,TWSE,造紙工業,,20,28.15,20.11,3.55,0.6,8.06,68.8,28.82,-0.88,12.6,0.683,13.84,252,7.03,19.53,-61.87,-90.66,-1.05,24.83,10.92,10.77,7.1,3.5,2026-06-26,80.62,,,84.41,11.28,,0.0,2026Q1,13.5,-0.43,1.16,-1,1.41,19.96,0.3,59.23,27.1481,3.69,50342.24,2068.86,2517.11,1407.77,0.82,0.56,-9.19,正常,3323.1,1114.79,4437.89,6.6,2.21,2,0,3,0,1174.27,127.67,摩根大通,1446.0,,凱基-台北,758.0,,2.69,37.29,-249,0,0.49,39.08,已取得,43.87,82.95,13.22,3.45,6.0,7.2,14.0,1.3,39.08,2026-05,-4.26,7.53,2.86,8.82,2.87,,外資與投信同買；前大買超分點約占成交 2.87%；收盤距區間均價 3.69%；連買：外2 / 投3；營收 2026-05，月增 -4.26%，年增 7.53%，累計年增 2.86%,外資買超；投信買超；融資下降；接近區間高點；逼近52週高點；營收 2026-05，月增 -4.26%，年增 7.53%，累計年增 2.86%,39.08
