latest_date,stock_id,name,market,observed_days,close,pe_ratio,dividend_yield,pb_ratio,1d_avg_price,close_vs_avg_pct,1d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,1d_foreign_net_lot,1d_trust_net_lot,1d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-05-18,6640,均華,TPEX,1,1305.0,81.06,1.15,11.39,1309.3285,-0.33,417.0,417.0,417.0,417.0,1.0,1.0,0.0,正常,107.01,5.0,112.01,25.66,1.2,1,0,1,0,107.01,5.0,,,,,,,0.0,45.5,-62,1,8.0,75.26,未取得,0.0,75.26,0.0,0.0,0.0,0.0,0.0,21.76,75.26,2026-04,11.36,142.34,104.96,,,,營收 2026-04，月增 11.36%，年增 142.34%，累計年增 104.96%,外資買超；投信買超；融資下降；營收 2026-04，月增 11.36%，年增 142.34%，累計年增 104.96%,75.26
2026-05-18,3533,嘉澤,TWSE,1,2325.0,32.67,1.51,6.22,2288.0939,1.61,1201.68,1201.68,1201.68,1201.68,1.0,1.0,0.0,正常,177.82,157.0,334.82,14.8,13.07,1,0,1,0,177.82,157.0,,,,,,,0.0,67.5,-10,1,0.88,73.7,未取得,0.0,73.7,0.0,0.0,0.0,0.0,0.0,5.32,73.7,2026-04,-4.29,15.21,19.38,,,,營收 2026-04，月增 -4.29%，年增 15.21%，累計年增 19.38%,外資買超；投信買超；融資下降；營收 2026-04，月增 -4.29%，年增 15.21%，累計年增 19.38%,73.7
2026-05-18,3313,斐成,TPEX,1,11.5,,0.0,1.15,11.262,2.11,92.0,92.0,92.0,92.0,1.0,1.0,0.0,正常,22.0,0.0,22.0,23.91,0.0,1,0,0,0,22.0,0.0,,,,,,,0.0,40.0,-24,0,8.0,72.0,未取得,0.0,72.0,0.0,0.0,0.0,0.0,0.0,24,72.0,2026-04,89.64,125.59,626.34,,,,營收 2026-04，月增 89.64%，年增 125.59%，累計年增 626.34%,外資買超；融資下降；營收 2026-04，月增 89.64%，年增 125.59%，累計年增 626.34%,72.0
2026-05-18,8045,達運光電,TWSE,1,72.5,103.57,1.38,3.56,70.9458,2.19,368.29,368.29,368.29,368.29,1.0,1.0,0.0,正常,78.0,0.0,78.0,21.18,0.0,1,0,0,0,78.0,0.0,,,,,,,0.0,40.0,-55,0,8.0,72.0,未取得,0.0,72.0,0.0,0.0,0.0,0.0,0.0,24,72.0,2026-04,34.71,95.94,60.09,,,,營收 2026-04，月增 34.71%，年增 95.94%，累計年增 60.09%,外資買超；融資下降；營收 2026-04，月增 34.71%，年增 95.94%，累計年增 60.09%,72.0
2026-05-18,2465,麗臺,TWSE,1,76.0,57.58,0.0,5.93,74.6351,1.83,1736.57,1736.57,1736.57,1736.57,1.0,1.0,0.0,正常,182.91,0.0,182.91,10.53,0.0,1,0,0,0,182.91,0.0,,,,,,,0.0,36.43,-200,-5,7.91,68.34,未取得,0.0,68.34,0.0,0.0,0.0,0.0,0.0,24,68.34,2026-04,38.15,175.8,114.63,,,,營收 2026-04，月增 38.15%，年增 175.8%，累計年增 114.63%,外資買超；融資下降；營收 2026-04，月增 38.15%，年增 175.8%，累計年增 114.63%,68.34
2026-05-18,8996,高力,TWSE,1,1045.0,74.54,0.44,20.93,1015.6685,2.89,2982.42,2982.42,2982.42,2982.42,1.0,1.0,0.0,正常,319.85,68.0,387.85,10.72,2.28,1,0,1,0,319.85,68.0,,,,,,,0.0,46.6,-113,-32,3.47,67.47,未取得,0.0,67.47,0.0,0.0,0.0,0.0,0.0,17.4,67.47,2026-04,-25.48,86.03,186.88,,,,營收 2026-04，月增 -25.48%，年增 86.03%，累計年增 186.88%,外資買超；投信買超；融資下降；營收 2026-04，月增 -25.48%，年增 86.03%，累計年增 186.88%,67.47
2026-05-18,8499,鼎炫-KY,TWSE,1,277.0,27.76,2.89,1.33,273.6846,1.21,160.46,160.46,160.46,160.46,1.0,1.0,0.0,正常,16.98,0.0,16.98,10.59,0.0,1,0,0,0,16.98,0.0,,,,,,,0.0,36.47,-17,0,8.0,67.2,未取得,0.0,67.2,0.0,0.0,0.0,0.0,0.0,22.73,67.2,2026-04,19.39,95.5,80.38,,,,營收 2026-04，月增 19.39%，年增 95.5%，累計年增 80.38%,外資買超；融資下降；營收 2026-04，月增 19.39%，年增 95.5%，累計年增 80.38%,67.2
2026-05-18,3205,佰研,TPEX,1,53.6,,0.0,3.58,53.4389,0.3,126.0,126.0,126.0,126.0,1.0,1.0,0.0,正常,34.0,0.0,34.0,26.98,0.0,1,0,0,0,34.0,0.0,,,,,,,0.0,40.0,-10,0,7.94,66.85,未取得,0.0,66.85,0.0,0.0,0.0,0.0,0.0,18.91,66.85,2026-04,-1.21,67.9,51.57,,,,營收 2026-04，月增 -1.21%，年增 67.9%，累計年增 51.57%,外資買超；融資下降；營收 2026-04，月增 -1.21%，年增 67.9%，累計年增 51.57%,66.85
2026-05-18,2376,技嘉,TWSE,1,330.5,15.44,3.63,3.43,339.7876,-2.73,39137.87,39137.87,39137.87,39137.87,1.0,1.0,0.0,正常,694.42,3054.0,3748.42,1.77,7.8,1,0,1,0,694.42,3054.0,,,,,,,0.0,41.22,-635,4,1.62,66.84,未取得,0.0,66.84,0.0,0.0,0.0,0.0,0.0,24,66.84,2026-04,33.92,73.66,64.15,,,,營收 2026-04，月增 33.92%，年增 73.66%，累計年增 64.15%,外資買超；投信買超；融資下降；營收 2026-04，月增 33.92%，年增 73.66%，累計年增 64.15%,66.84
2026-05-18,3023,信邦,TWSE,1,294.0,23.02,3.4,4.03,287.3282,2.32,1851.34,1851.34,1851.34,1851.34,1.0,1.0,0.0,正常,213.8,152.0,365.8,11.55,8.21,1,0,1,0,213.8,152.0,,,,,,,0.0,63.03,10,3,-0.33,66.34,未取得,0.0,66.34,0.0,0.0,0.0,0.0,0.0,3.64,66.34,2026-04,1.85,14.97,4.51,,,,營收 2026-04，月增 1.85%，年增 14.97%，累計年增 4.51%,外資買超；投信買超；融資增加；營收 2026-04，月增 1.85%，年增 14.97%，累計年增 4.51%,66.34
