stock_id,name,market,close,1d_avg_price,1d_foreign_net_lot,1d_trust_net_lot,1d_dealer_net_lot,1d_volume_lot,latest_foreign_net_lot,latest_trust_net_lot
2313,華通,TWSE,255.0,259.7353,13246.97,2297.0,668.96,90778.7,13246.97,2297.0
2355,敬鵬,TWSE,59.1,61.2708,10321.1,-6.0,166.7,91114.1,10321.1,-6.0
2485,兆赫,TWSE,70.6,71.9771,8088.12,0.0,464.21,42881.2,8088.12,0.0
5309,系統電,TPEX,67.7,68.0663,7378.28,108.0,547.89,19200.0,7378.28,108.0
5425,台半,TPEX,86.9,84.503,7146.82,573.58,207.3,66487.0,7146.82,573.58
2615,萬海,TWSE,81.1,81.356,7066.82,0.0,87.93,23500.02,7066.82,0.0
2027,大成鋼,TWSE,41.15,41.2106,6697.32,-697.0,-647.01,46970.65,6697.32,-697.0
2409,友達,TWSE,18.75,18.8681,6297.95,7.0,738.89,118262.55,6297.95,7.0
2891,中信金,TWSE,57.8,57.4878,6136.73,-3561.24,659.15,114703.22,6136.73,-3561.24
3045,台灣大,TWSE,115.0,115.6963,5850.67,-180.0,212.84,12474.68,5850.67,-180.0
2542,興富發,TWSE,43.7,43.4899,5337.35,29.5,242.94,9114.53,5337.35,29.5
8028,昇陽半導體,TWSE,258.5,260.3849,5167.41,-40.0,-363.35,7566.03,5167.41,-40.0
6285,啟碁,TWSE,279.0,288.4607,4763.78,-101.0,82.57,43247.43,4763.78,-101.0
3264,欣銓,TPEX,206.5,207.954,4675.29,-1445.0,-2338.15,11803.0,4675.29,-1445.0
5328,華容,TPEX,30.9,30.3838,4479.48,0.0,294.3,17213.0,4479.48,0.0
6127,九豪,TPEX,52.1,51.106,4111.03,0.0,238.34,26916.0,4111.03,0.0
8358,金居,TPEX,460.0,455.2785,3994.59,54.0,295.08,7238.0,3994.59,54.0
3042,晶技,TWSE,148.0,149.7611,3672.2,-14.0,-121.25,21518.85,3672.2,-14.0
5871,中租-KY,TWSE,111.0,111.3941,3610.15,-209.44,20.62,9406.38,3610.15,-209.44
2312,金寶,TWSE,28.3,28.1715,3559.09,0.0,154.67,23088.1,3559.09,0.0
3576,聯合再生,TWSE,17.55,18.0081,3353.73,0.0,-14.49,52538.19,3353.73,0.0
2367,燿華,TWSE,64.0,64.1564,3244.39,0.0,447.31,50867.37,3244.39,0.0
2324,仁寶,TWSE,27.6,27.6461,3058.62,-19979.0,1815.58,39871.99,3058.62,-19979.0
2851,中再保,TWSE,34.9,35.0584,2945.4,0.0,-1.1,2336.99,2945.4,0.0
2882,國泰金,TWSE,77.9,77.838,2814.22,-9571.31,425.96,27763.94,2814.22,-9571.31
1785,光洋科,TPEX,138.0,139.4262,2811.72,-455.0,-87.44,17149.0,2811.72,-455.0
4960,誠美材,TWSE,33.15,33.1803,2798.0,0.0,2.0,12913.23,2798.0,0.0
8112,至上,TWSE,84.0,84.7663,2607.28,-19.99,537.85,37657.75,2607.28,-19.99
2484,希華,TWSE,44.3,43.1677,2491.1,0.0,-3.82,23421.54,2491.1,0.0
2890,永豐金,TWSE,29.8,29.9351,2480.67,-4967.0,-313.25,35042.28,2480.67,-4967.0
3024,憶聲,TWSE,17.8,17.8213,2398.0,0.0,315.61,4598.53,2398.0,0.0
6284,佳邦,TPEX,88.0,89.4978,2229.06,0.0,51.94,7921.0,2229.06,0.0
2408,南亞科,TWSE,275.0,276.7871,2181.5,-8258.0,-1091.05,123868.2,2181.5,-8258.0
2867,三商壽,TWSE,7.7,7.7081,2169.0,0.0,24.0,3596.86,2169.0,0.0
8069,元太,TPEX,230.0,225.307,2134.07,1021.0,34.99,7050.0,2134.07,1021.0
6271,同欣電,TWSE,187.5,185.567,2047.95,0.0,200.58,6529.28,2047.95,0.0
3034,聯詠,TWSE,472.5,472.3221,1924.65,2.94,-26.37,5417.28,1924.65,2.94
2368,金像電,TWSE,1235.0,1245.9835,1914.65,29.0,36.16,5873.75,1914.65,29.0
3376,新日興,TWSE,202.5,203.8207,1893.9,0.0,679.96,3119.44,1893.9,0.0
2886,兆豐金,TWSE,40.3,40.3963,1867.95,-12.0,6.97,37143.6,1867.95,-12.0
1582,信錦,TWSE,107.0,112.5917,1836.81,240.0,236.51,36875.64,1836.81,240.0
2880,華南金,TWSE,32.05,32.2336,1752.33,-6011.0,138.11,31589.81,1752.33,-6011.0
3062,建漢,TWSE,28.0,28.0192,1693.0,0.0,15.73,6261.49,1693.0,0.0
3049,精金,TWSE,11.9,11.9169,1673.0,0.0,5.0,3672.59,1673.0,0.0
2317,鴻海,TWSE,240.0,241.5372,1667.04,-12.81,-477.67,62650.29,1667.04,-12.81
2379,瑞昱,TWSE,567.0,565.3709,1658.21,-66.0,4.46,3379.23,1658.21,-66.0
3709,鑫聯大投控,TPEX,83.4,83.3006,1632.0,0.0,122.23,4157.0,1632.0,0.0
6234,高僑,TPEX,43.85,44.853,1617.54,0.0,-35.29,4852.0,1617.54,0.0
6451,訊芯-KY,TWSE,485.5,485.6744,1521.58,0.0,-212.41,4243.27,1521.58,0.0
3712,永崴投控,TWSE,14.95,14.9088,1516.09,0.0,601.75,2074.8,1516.09,0.0
