as_of_date,from_date,to_date,window_days,stock_id,name,rank_side,rank_no,broker_name,broker_id,buy_lot,sell_lot,net_lot,avg_price,source,source_url
2026-07-15,2026-06-16,2026-07-15,20,2382,廣達,sell,1,凱基,9200,3854.0,11235.0,7381.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2382&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2382,廣達,buy,2,永豐金證券,9A00,14387.0,5281.0,9106.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2382&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2382,廣達,sell,2,美商高盛,1480,7129.0,14271.0,7142.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2382&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2382,廣達,buy,3,台新,9B00,8060.0,1543.0,6517.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2382&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2382,廣達,sell,3,摩根大通,8440,11571.0,18468.0,6897.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2382&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2382,廣達,buy,4,台新-台北,9B20,6525.0,112.0,6413.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2382&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2382,廣達,sell,4,美林,1440,4898.0,11737.0,6839.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2382&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2382,廣達,buy,5,華南永昌,9300,6103.0,1140.0,4963.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2382&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2382,廣達,sell,5,港商麥格理,1360,3391.0,8636.0,5245.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2382&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2382,廣達,buy,6,凱基-台北,9268,20813.0,17689.0,3124.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2382&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2382,廣達,sell,6,台灣摩根士丹利,1470,20274.0,24609.0,4335.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2382&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2382,廣達,buy,7,富邦證券,9600,12183.0,9614.0,2569.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2382&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2382,廣達,sell,7,香港上海匯豐,8960,570.0,3685.0,3115.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2382&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2382,廣達,buy,8,群益金鼎,9100,6445.0,4391.0,2054.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2382&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2382,廣達,sell,8,花旗環球,1590,9038.0,11618.0,2580.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2382&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2382,廣達,buy,9,土銀,1030,1691.0,109.0,1582.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2382&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2382,廣達,sell,9,永豐金-匯立,9A81,1278.0,3690.0,2412.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2382&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2382,廣達,buy,10,中國信託,6160,3275.0,1841.0,1434.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2382&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2382,廣達,sell,10,新加坡商瑞銀,1650,9885.0,11838.0,1953.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2382&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2324,仁寶,buy,1,台灣摩根士丹利,1470,84848.0,60437.0,24411.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2324&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2324,仁寶,sell,1,美林,1440,17031.0,39719.0,22688.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2324&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2324,仁寶,buy,2,富邦證券,9600,33425.0,17690.0,15735.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2324&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2324,仁寶,sell,2,元大證券,9800,77752.0,96584.0,18832.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2324&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2324,仁寶,buy,3,國票-敦北法人,779c,5402.0,672.0,4730.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2324&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2324,仁寶,sell,3,永豐金證券,9A00,12623.0,29791.0,17168.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2324&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2324,仁寶,buy,4,大和國泰,8890,4659.0,16.0,4643.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2324&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2324,仁寶,sell,4,凱基-台北,9268,66038.0,81215.0,15177.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2324&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2324,仁寶,buy,5,國泰證券,8880,7836.0,3257.0,4579.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2324&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2324,仁寶,sell,5,新加坡商瑞銀,1650,42668.0,57323.0,14655.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2324&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2324,仁寶,buy,6,港商野村,1560,12020.0,7885.0,4135.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2324&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2324,仁寶,sell,6,統一,5850,4918.0,16962.0,12044.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2324&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2324,仁寶,buy,7,台新-西松,9B2n,3336.0,112.0,3224.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2324&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2324,仁寶,sell,7,摩根大通,8440,51015.0,59706.0,8691.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2324&e=2026-6-16&f=2026-7-15
2026-07-15,2026-06-16,2026-07-15,20,2324,仁寶,buy,8,富邦-台北,9623,5846.0,3518.0,2328.0,,moneydj,https://fubon-ebrokerdj.fbs.com.tw/z/zc/zco/zco.djhtm?a=2324&e=2026-6-16&f=2026-7-15
