as_of_date,from_date,to_date,window_days,stock_id,name,rank_side,rank_no,broker_name,broker_id,buy_lot,sell_lot,net_lot,avg_price,source,source_url
2026-05-18,2026-04-20,2026-05-18,20,4402,郡都開發,sell,1,國泰-館前,888A,,157.0,-156.0,14.69,histock,https://histock.tw/stock/branch.aspx?no=4402&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,4402,郡都開發,buy,1,台新-虎尾,9B2N,159.0,,159.0,13.84,histock,https://histock.tw/stock/branch.aspx?no=4402&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,4402,郡都開發,sell,2,兆豐-復興,700p,2.0,57.0,-55.0,12.42,histock,https://histock.tw/stock/branch.aspx?no=4402&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,4402,郡都開發,buy,2,凱基-大直,9218,46.0,,46.0,13.58,histock,https://histock.tw/stock/branch.aspx?no=4402&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,4402,郡都開發,sell,3,大昌,6460,45.0,99.0,-54.0,13.36,histock,https://histock.tw/stock/branch.aspx?no=4402&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,4402,郡都開發,buy,3,群益金鼎-中山,918H,45.0,,45.0,13.73,histock,https://histock.tw/stock/branch.aspx?no=4402&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,4402,郡都開發,sell,4,凱基-中港,9202,,47.0,-47.0,14.42,histock,https://histock.tw/stock/branch.aspx?no=4402&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,4402,郡都開發,buy,4,國泰-高雄,8881,48.0,6.0,42.0,13.13,histock,https://histock.tw/stock/branch.aspx?no=4402&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,4402,郡都開發,sell,5,元大-南屯,9853,7.0,39.0,-32.0,13.25,histock,https://histock.tw/stock/branch.aspx?no=4402&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,4402,郡都開發,buy,5,國泰-台南,8884,35.0,,35.0,13.4,histock,https://histock.tw/stock/branch.aspx?no=4402&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,4402,郡都開發,sell,6,國泰-敦南,8888,23.0,51.0,-28.0,13.78,histock,https://histock.tw/stock/branch.aspx?no=4402&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,4402,郡都開發,buy,6,元大-鳳山,983Z,30.0,1.0,29.0,12.98,histock,https://histock.tw/stock/branch.aspx?no=4402&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,4402,郡都開發,sell,7,凱基-台北,9268,103.0,131.0,-27.0,13.47,histock,https://histock.tw/stock/branch.aspx?no=4402&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,4402,郡都開發,buy,7,元大-頭份,983U,26.0,,26.0,12.61,histock,https://histock.tw/stock/branch.aspx?no=4402&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,4402,郡都開發,sell,8,元大-高雄,981m,5.0,32.0,-27.0,14.54,histock,https://histock.tw/stock/branch.aspx?no=4402&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,4402,郡都開發,buy,8,富邦-七賢,961K,32.0,7.0,25.0,13.86,histock,https://histock.tw/stock/branch.aspx?no=4402&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,4402,郡都開發,sell,9,台新-緯城,9B2A,4.0,28.0,-24.0,11.56,histock,https://histock.tw/stock/branch.aspx?no=4402&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,4402,郡都開發,buy,9,永豐金-板盛,9A9Y,25.0,,25.0,13.12,histock,https://histock.tw/stock/branch.aspx?no=4402&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,4402,郡都開發,sell,10,富邦-嘉義,9692,11.0,35.0,-23.0,13.49,histock,https://histock.tw/stock/branch.aspx?no=4402&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,4402,郡都開發,buy,10,兆豐-高雄,700Z,27.0,3.0,24.0,13.67,histock,https://histock.tw/stock/branch.aspx?no=4402&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,4406,新昕纖,sell,1,犇亞-網路,6012,,440.0,-440.0,9.9,histock,https://histock.tw/stock/branch.aspx?no=4406&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,4406,新昕纖,buy,1,元大-館前,984K,346.0,4.0,342.0,9.93,histock,https://histock.tw/stock/branch.aspx?no=4406&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,4406,新昕纖,sell,2,國泰-館前,888A,,128.0,-128.0,9.94,histock,https://histock.tw/stock/branch.aspx?no=4406&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,4406,新昕纖,buy,2,富邦-板橋,9655,109.0,,109.0,10.68,histock,https://histock.tw/stock/branch.aspx?no=4406&from=20260420&to=20260518
