as_of_date,from_date,to_date,window_days,stock_id,name,rank_side,rank_no,broker_name,broker_id,buy_lot,sell_lot,net_lot,avg_price,source,source_url
2026-05-11,2026-05-05,2026-05-11,5,1597,直得,sell,1,國泰,8880,37.0,705.0,-668.0,177.93,histock,https://histock.tw/stock/branch.aspx?no=1597&from=20260505&to=20260511
2026-05-11,2026-05-05,2026-05-11,5,1597,直得,buy,1,凱基-桃園,9208,777.0,37.0,740.0,184.72,histock,https://histock.tw/stock/branch.aspx?no=1597&from=20260505&to=20260511
2026-05-11,2026-05-05,2026-05-11,5,1597,直得,sell,2,富邦,9600,313.0,847.0,-533.0,181.52,histock,https://histock.tw/stock/branch.aspx?no=1597&from=20260505&to=20260511
2026-05-11,2026-05-05,2026-05-11,5,1597,直得,buy,2,台灣摩根士丹利,1470,1475.0,740.0,735.0,177.56,histock,https://histock.tw/stock/branch.aspx?no=1597&from=20260505&to=20260511
2026-05-11,2026-05-05,2026-05-11,5,1597,直得,sell,3,永豐金,9A00,122.0,468.0,-345.0,176.18,histock,https://histock.tw/stock/branch.aspx?no=1597&from=20260505&to=20260511
2026-05-11,2026-05-05,2026-05-11,5,1597,直得,buy,3,美商高盛,1480,785.0,115.0,670.0,179.22,histock,https://histock.tw/stock/branch.aspx?no=1597&from=20260505&to=20260511
2026-05-11,2026-05-05,2026-05-11,5,1597,直得,sell,4,元大-大安,983N,326.0,643.0,-317.0,189.71,histock,https://histock.tw/stock/branch.aspx?no=1597&from=20260505&to=20260511
2026-05-11,2026-05-05,2026-05-11,5,1597,直得,buy,4,摩根大通,8440,1341.0,692.0,649.0,176.85,histock,https://histock.tw/stock/branch.aspx?no=1597&from=20260505&to=20260511
2026-05-11,2026-05-05,2026-05-11,5,1597,直得,sell,5,統一-敦南,5852,22.0,282.0,-260.0,176.59,histock,https://histock.tw/stock/branch.aspx?no=1597&from=20260505&to=20260511
2026-05-11,2026-05-05,2026-05-11,5,1597,直得,buy,5,宏遠,1260,607.0,22.0,584.0,180.15,histock,https://histock.tw/stock/branch.aspx?no=1597&from=20260505&to=20260511
2026-05-11,2026-05-05,2026-05-11,5,1597,直得,sell,6,兆豐,7000,67.0,218.0,-150.0,175.61,histock,https://histock.tw/stock/branch.aspx?no=1597&from=20260505&to=20260511
2026-05-11,2026-05-05,2026-05-11,5,1597,直得,buy,6,新加坡商瑞銀,1650,592.0,412.0,180.0,178.38,histock,https://histock.tw/stock/branch.aspx?no=1597&from=20260505&to=20260511
2026-05-11,2026-05-05,2026-05-11,5,1597,直得,sell,7,美林,1440,116.0,250.0,-134.0,177.95,histock,https://histock.tw/stock/branch.aspx?no=1597&from=20260505&to=20260511
2026-05-11,2026-05-05,2026-05-11,5,1597,直得,buy,7,元大,9800,2059.0,1934.0,125.0,177.52,histock,https://histock.tw/stock/branch.aspx?no=1597&from=20260505&to=20260511
2026-05-11,2026-05-05,2026-05-11,5,1597,直得,sell,8,台新-城東,9B2r,79.0,193.0,-113.0,178.98,histock,https://histock.tw/stock/branch.aspx?no=1597&from=20260505&to=20260511
2026-05-11,2026-05-05,2026-05-11,5,1597,直得,buy,8,港商野村,1560,177.0,66.0,111.0,178.7,histock,https://histock.tw/stock/branch.aspx?no=1597&from=20260505&to=20260511
2026-05-11,2026-05-05,2026-05-11,5,1597,直得,sell,9,國票,7790,41.0,151.0,-109.0,179.39,histock,https://histock.tw/stock/branch.aspx?no=1597&from=20260505&to=20260511
2026-05-11,2026-05-05,2026-05-11,5,1597,直得,buy,9,台新,9B00,244.0,175.0,69.0,177.38,histock,https://histock.tw/stock/branch.aspx?no=1597&from=20260505&to=20260511
2026-05-11,2026-05-05,2026-05-11,5,1597,直得,sell,10,富邦-中壢,9636,35.0,126.0,-91.0,177.06,histock,https://histock.tw/stock/branch.aspx?no=1597&from=20260505&to=20260511
2026-05-11,2026-05-05,2026-05-11,5,1597,直得,buy,10,群益金鼎-館前,913Y,86.0,28.0,57.0,175.43,histock,https://histock.tw/stock/branch.aspx?no=1597&from=20260505&to=20260511
