as_of_date,from_date,to_date,window_days,stock_id,name,rank_side,rank_no,broker_name,broker_id,buy_lot,sell_lot,net_lot,avg_price,source,source_url
2026-05-18,2026-04-20,2026-05-18,20,8941,關中,sell,1,國泰-忠孝,8887,,150.0,-150.0,44.6,histock,https://histock.tw/stock/branch.aspx?no=8941&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8941,關中,buy,1,元大-豐原,9838,100.0,,100.0,44.6,histock,https://histock.tw/stock/branch.aspx?no=8941&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8941,關中,sell,2,陽信-石牌,8711,,30.0,-30.0,44.53,histock,https://histock.tw/stock/branch.aspx?no=8941&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8941,關中,buy,2,元大-樹林,989j,68.0,,68.0,44.55,histock,https://histock.tw/stock/branch.aspx?no=8941&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8941,關中,sell,3,國泰-敦南,8888,1.0,10.0,-9.0,43.78,histock,https://histock.tw/stock/branch.aspx?no=8941&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8941,關中,buy,3,國泰-台中,8882,53.0,1.0,51.0,44.56,histock,https://histock.tw/stock/branch.aspx?no=8941&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8941,關中,sell,4,口袋,6620,,9.0,-9.0,44.23,histock,https://histock.tw/stock/branch.aspx?no=8941&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8941,關中,buy,4,宏遠-館前,126U,16.0,,16.0,44.51,histock,https://histock.tw/stock/branch.aspx?no=8941&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8941,關中,sell,5,元大-新盛,9869,,8.0,-8.0,44.35,histock,https://histock.tw/stock/branch.aspx?no=8941&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8941,關中,buy,5,元大-新竹經國,9859,10.0,,10.0,44.56,histock,https://histock.tw/stock/branch.aspx?no=8941&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8941,關中,sell,6,宏遠-民生,1261,,8.0,-8.0,44.6,histock,https://histock.tw/stock/branch.aspx?no=8941&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8941,關中,buy,6,新光,8560,10.0,3.0,7.0,44.17,histock,https://histock.tw/stock/branch.aspx?no=8941&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8941,關中,sell,7,凱基-士林,9238,,7.0,-7.0,43.93,histock,https://histock.tw/stock/branch.aspx?no=8941&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8941,關中,buy,7,第一金-安和,538j,5.0,,5.0,44.32,histock,https://histock.tw/stock/branch.aspx?no=8941&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8941,關中,sell,8,玉山,8840,,5.0,-5.0,44.22,histock,https://histock.tw/stock/branch.aspx?no=8941&from=20260420&to=20260518
2026-05-18,2026-04-20,2026-05-18,20,8941,關中,buy,8,元大-南海,980R,3.0,,3.0,44.5,histock,https://histock.tw/stock/branch.aspx?no=8941&from=20260420&to=20260518
